VOC_Date	A	B	C	D1	D2	E1	E2.1	E2.2	E3	F1	F2	F3
WT	0.278495843	0.142217874	0.232731269	0.071181558	0.099122095	0.036898456	0.042292976	0.030459474	0.005797454	0.004185185	0.043147179	0.013470636
Alpha	0.278495843	0.142217874	0.232731269	0.071181558	0.099122095	0.036898456	0.042292976	0.030459474	0.005797454	0.004185185	0.043147179	0.013470636
Delta	0.278495843	0.142217874	0.232731269	0.071181558	0.099122095	0.036898456	0.042292976	0.030459474	0.005797454	0.004185185	0.043147179	0.013470636
BA.1	0.126457412	0.239249925	0.079515082	0.17554218	0.095183019	0.040246927	0.159984536	0.063309313	0.004541817	0.000450384	0.011902594	0.003616811
BA.2	0.129257865	0.15341739	0.164222905	0.148814173	0.069169965	0.012141469	0.137793495	0.143313449	0.010935989	0.00327878	0.004584999	0.023069522
BA.4/5	0.166259832	0.058323712	0.023010753	0.17629315	0.277320767	0.122187163	0.067165622	0.092022386	0.013429417	0	0.003987199	0
BQ.1	0.166259832	0.058323712	0.023010753	0.17629315	0.277320767	0.122187163	0.067165622	0.092022386	0.013429417	0	0.003987199	0
XBB	0.129257865	0.15341739	0.164222905	0.148814173	0.069169965	0.012141469	0.137793495	0.143313449	0.010935989	0.00327878	0.004584999	0.023069522
