VOC_Date	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12
WT_43870	0.004704659	0	0.004813626	0.004813626	0	0	0.004813626	0.004813626	0	0	0.004704659	0.004704659
WT_43877	0	0	0	0	0	0	0	0	0	0	0	0
WT_43884	0.00096325	0.00096325	0.00096325	0	0	0	0	0	0	0	0	0
WT_43891	0.00096325	0.00096325	0.002053284	0	0	0	0	0	0.000664362	0	0	0
WT_43898	0.001590056	0.001590056	0.002529562	0.002263958	0	9.29E-05	0.002338723	0.002202446	0.000480752	9.29E-05	9.29E-05	0.00028417
WT_43905	0.001323103	0.001323103	0.00304809	0.002204292	5.11E-05	0.00016237	0.002307662	0.002171385	0.000283066	0.00016237	0.00016237	0.00028417
WT_43912	0.000362981	0.000325488	0.000506772	0.000209537	0.000172754	3.35E-05	0.000367551	0.000295746	0.000273431	6.88E-05	0.00015048	0.000193674
WT_43919	0.000382502	0.000291982	0.000649855	0.000566963	0.000253629	0.000100465	0.000544737	0.000539755	0.00034269	0.000108711	0.000249937	0.0002305
WT_43926	0.000264664	0.000172913	0.000287636	0.000287189	0.00028295	0.000292605	0.000289609	0.000324019	0.000313713	7.13E-05	0.000248492	0.000277914
WT_43933	9.52E-05	8.97E-05	0.000354304	0.000326563	0.000511452	0.000725873	0.000463256	0.000392315	0.000392736	0.000126266	0.000337978	0.000515844
WT_43940	0.000256663	0.000248427	0.001180674	0.001310788	0.000836312	0.001455796	0.001027092	0.000756085	0.00032071	0.000161461	0.000414018	0.000344047
WT_43947	0.000749607	0.000373712	0.002100464	0.002282112	0.002371032	0.002122343	0.000798834	0.000632927	0.000296738	9.41E-05	0.000345587	0.001251194
WT_43954	0.000632481	0.000332328	0.002459188	0.002464846	0.002643903	0.002264547	0.001060049	0.000900834	0.000325643	0.000149701	0.000387037	0.001360262
WT_43961	0.000644167	0.000540461	0.003970588	0.003925143	0.003673044	0.003513709	0.00170329	0.001656588	0.000474517	0.000175132	0.000399174	0.000826988
WT_43968	0.000909584	0.000610364	0.001619708	0.001953479	0.001502905	0.001335333	0.001971053	0.001841429	0.000891128	0.000264352	0.000497816	0.001076909
WT_43975	0.001024307	0.000716274	0.001631669	0.00153695	0.000684233	0.000853179	0.001407918	0.001194196	0.000588714	0.000171406	0.000282651	0.000420674
WT_43982	0.000871005	0.001406233	0.002566515	0.001911208	0.001544851	0.001104261	0.001827539	0.001094473	0.000315741	0.000192083	0.000368729	0.000880856
WT_43989	0.001119248	0.001284896	0.002686838	0.001631454	0.001311885	0.001128182	0.001757449	0.000972551	0.000291514	7.33E-05	0.000447391	0.001666137
WT_43996	0.000599581	0.000462972	0.00127251	0.000902316	0.000462643	0.000463386	0.000814647	0.000656983	0.000455327	0.000170708	0.000418073	0.001318676
WT_44003	0.000789849	0.000592036	0.00124189	0.001253446	0.000637895	0.00069402	0.001278072	0.001247812	0.000822827	0.000465926	0.000527203	0.000505581
WT_44010	0.001239777	0.000931573	0.001252678	0.00116201	0.000397199	0.000510814	0.001335867	0.001469287	0.001297466	0.000382056	0.000454952	0.000334184
WT_44017	0.000773632	0.000554563	0.000841014	0.000713398	0.000492099	0.001540582	0.000963613	0.00059894	0.000439494	0.000106192	0.000184321	0.000770723
WT_44024	0.000543141	0.000321684	0.000961899	0.000693467	0.000455499	0.0015393	0.000910982	0.000736495	0.000482835	0.000277964	0.000564881	0.000537948
WT_44031	0.000673342	0.000370047	0.002573762	0.002362448	0.000557335	0.00052027	0.002638669	0.002471722	0.000341781	0.000114489	0.000532027	0.000591734
WT_44038	0.000689598	0.000413909	0.002435169	0.002406095	0.000389139	0.000447353	0.002499758	0.002346868	0.000197782	0.000193989	0.000629176	0.000595706
WT_44045	0.000697511	0.000376366	0.000741131	0.000723547	0.000600298	0.001503457	0.000750328	0.000820488	0.000285112	7.97E-05	0.000273967	0.001071251
WT_44052	0.000414804	0.000215169	0.000725199	0.000851804	0.001138255	0.000271422	0.000604416	0.001398929	0.001278143	0.000109635	0.000222481	0.001673397
WT_44059	0.000708769	0.000409276	0.001077947	0.000891363	0.002296179	0.001635836	0.00094175	0.001666753	0.001177456	0.000115104	0.00035784	0.002536489
WT_44066	0.000626794	0.000568515	0.0013626	0.001062104	0.00193715	0.000206528	0.001529458	0.001749551	0.000816624	0.000116387	0.000227919	0.002248496
WT_44073	0.000846211	0.000501931	0.00082599	0.001012262	0.001078813	0.000378435	0.001056111	0.001283903	0.000672034	0.00020049	0.000314235	0.001259092
WT_44080	0.000887799	0.000509946	0.000784533	0.000886746	0.000268832	0.00081912	0.001127454	0.000742387	0.000642254	0.000212184	0.000445281	0.00080405
WT_44087	0.000882606	0.000492451	0.001022749	0.00113985	0.001037018	0.000792941	0.001044784	0.001026417	0.001827491	0.000131154	0.000700993	0.001292797
