VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
BA.2	6	2022-11-06	30	9	1694	657.144955925563	1520487.39579932	4.07896822848083	-1.97457094610831	-0.606590436813213	0.435205741626567	-0.172924748186333	0.963698462565116	-0.908693471714013	GA9
BA.2	6	2022-11-13	31	15	1925	1054.70585559632	1412673.02298571	4.11311493805881	-2.01996311927002	-0.625005026092319	0.450322080841392	-0.19381588550507	0.964869327144731	-0.940105545618824	GA9
BA.2	6	2022-11-20	32	9	2268	693.25429853353	1391746.51843376	4.15094783830011	-2.05422617933305	-0.623466805930877	0.478335106925669	-0.207408329067465	0.966380551513621	-0.925630551539575	GA9
BA.2	60	2022-06-12	9	1	35575	56.058869696914	1024083.43162322	1.55696334064236	0.162133874991876	-0.425567716335882	-0.151889329310589	0.181851169812059	0.894051130840121	1	GA8
BA.2	60	2022-06-19	10	6	25573	395.738401320793	1836885.74613068	1.5791184265893	0.155694201707192	-0.425033993648345	-0.156111398174775	0.18008904509317	0.908641774782853	1	GA9
BA.2	60	2022-06-26	11	10	18262	750.279226847416	2838906.53854525	1.60474706723839	0.152739940541423	-0.427369127829448	-0.153648708725392	0.179260804332825	0.920494196534698	1	GA9
BA.2	60	2022-07-03	12	16	14440	1267.9939840979	3967315.4273703	1.62494242473685	0.140044293986153	-0.431402977633215	-0.156452144170529	0.178126570047856	0.930393399752463	1	GA9
BA.2	60	2022-07-10	13	26	11180	2217.83320978503	5005649.55448481	1.61868639724506	0.147540236521628	-0.441912174645686	-0.15621551414518	0.180656455814757	0.938643005123208	1	GA9
BA.2	60	2022-07-17	14	29	7932	2629.47027854887	5886205.22561501	1.64186338328724	0.137602790721173	-0.446935955626678	-0.161958991602645	0.179990499533816	0.944864414939245	1	GA9
BA.2	60	2022-07-24	15	47	4696	4867.73692620136	6421994.96985037	1.70237671662643	0.0889873510408261	-0.451912632260649	-0.15291918494909	0.177597906756834	0.949071615013943	1	GA9
BA.2	60	2022-07-31	16	51	2541	6258.13567688062	6591780.20443823	1.82055837586587	0.0331300108686224	-0.438901733017849	-0.105444150080602	0.172932411808133	0.951768828357882	1	GA9
BA.2	60	2022-08-07	17	42	1579	5253.14035393095	6233476.40379074	1.96247696237558	-0.0752859325705915	-0.450674302536291	-0.100126534703154	0.164903817846847	0.953477220952762	0.587467793851842	GA9
BA.2	60	2022-08-14	18	22	1047	2841.94120802016	5699125.55524698	2.27004968744976	-0.322041687799519	-0.444978305770497	-0.0284776331374573	0.143276710270306	0.954647191492965	0.112632860147671	GA9
BA.2	60	2022-08-21	19	44	823	4959.32173313682	4988514.10424778	2.59559408106465	-0.582831188121252	-0.446921765361231	0.0233664451410605	0.114437878617688	0.955449618022486	-0.222730376123262	GA9
BA.2	60	2022-08-28	20	31	722	3176.97926943074	4504649.15444607	3.00166403691531	-0.873492771843693	-0.419081112923662	0.0717912541195966	0.0806735819929467	0.956089685441166	-0.44237788123651	GA9
BA.2	60	2022-09-04	21	34	573	3292.48989924223	3791108.44310101	3.246218141254	-1.0967935079816	-0.41708825061205	0.122241869409559	0.0512455127941604	0.95656967964426	-0.624729565275547	GA9
BA.2	60	2022-09-11	22	32	616	2982.19721411661	3288711.17153003	3.53273763544373	-1.2254967564751	-0.430286457499541	0.145146587334479	0.0166252412946996	0.957066275316253	-0.681391363501514	GA9
BA.2	60	2022-09-18	23	59	862	4411.8058329607	2896911.35211408	3.74991022565321	-1.5294500672563	-0.422229147630487	0.172081651310706	-0.0134332425733251	0.95762385569293	-0.738697883758765	GA9
BA.2	60	2022-09-25	24	61	887	5004.8161071242	2826326.31570844	3.88436658223052	-1.6424336887007	-0.445624812798899	0.193136090268371	-0.0406829017303754	0.958253387598644	-0.750959055637303	GA9
BA.2	60	2022-10-02	25	39	915	3447.38831062422	2684012.78625113	3.93484674801129	-1.65118313705101	-0.483664906241429	0.209160467700822	-0.0542065212807665	0.95895304032037	-0.740615038000501	GA9
BA.2	60	2022-10-09	26	33	1113	2937.31206636036	2548251.73175244	3.95568589436653	-1.69714940828037	-0.510524070413212	0.207272947880304	-0.0654551567963887	0.95981001334179	-0.771450523651491	GA9
BA.2	60	2022-10-16	27	42	1205	3631.01523063533	2354799.8298106	4.00163825395539	-1.78642752772926	-0.529908232914781	0.340474234049088	-0.0919878951336195	0.96071117283749	-0.794050852982054	GA9
BA.2	60	2022-10-23	28	14	1282	1200.92211133289	2075879.64958971	4.06744753817305	-1.82312993864442	-0.569164428643261	0.368883074591613	-0.119752507272701	0.96166245787698	-0.738387935854795	GA9
BA.2	60	2022-10-30	29	16	1460	1223.84973572708	1768386.37751714	4.07303008433193	-1.87060570445985	-0.597006741475166	0.400470576921965	-0.144080804212613	0.962628501655059	-0.811220765274075	GA9
BA.2	60	2022-11-06	30	22	1694	1606.35433670693	1519538.18641854	4.09825597731137	-1.95547692775356	-0.606815953691732	0.493206819980998	-0.172797204496823	0.963698462565116	-0.866451537165658	GA9
BA.2	60	2022-11-13	31	17	1925	1195.33330300917	1412532.3955383	4.13165188722695	-2.00142617010188	-0.625041397986751	0.508420081755538	-0.193795883548764	0.964869327144731	-0.888594847155304	GA9
BA.2	60	2022-11-20	32	16	2268	1232.45208628183	1391207.32064601	4.16978764273488	-2.03538637489828	-0.623608466243195	0.536374078368213	-0.207331369155469	0.966380551513621	-0.909470393795192	GA9
BA.2	60	2022-11-27	33	8	2347	665.782138810896	1353035.75159844	4.18486696388515	-2.1133126503918	-0.60136088697155	0.567490944654903	-0.234779614175786	0.968070179439258	-0.868737030213912	GA9
BA.2	60	2022-12-04	34	5	2942	380.1436802479	1256298.83448326	4.18372465961124	-2.14302655339147	-0.59428484407082	0.517071142485701	-0.246600291552655	0.970005069417269	-0.829290320025256	GA9
BA.2	61	2022-05-15	5	1	51261	62.4908749032187	119545.043689858	1.80981226522724	0.687996063123222	-0.460803314175001	-0.356790956838221	0.308958858387872	0.809876598074558	1	GA8
BA.2	61	2022-05-22	6	1	46489	63.4535934481755	200259.540922442	1.85485596247074	0.651623246632932	-0.471378793874158	-0.357243961461167	0.304795423322834	0.835394341259999	1	GA8
BA.2	61	2022-05-29	7	3	44261	173.839789498674	338408.123557419	1.89161651939733	0.608078001550552	-0.481697490376976	-0.355411808488827	0.300413645953628	0.857580646857447	1	GA8
BA.2	61	2022-06-05	8	1	38656	57.4750389650352	619121.119731359	1.93086182187631	0.596347696833522	-0.488031545334491	-0.359562542537696	0.29832019591196	0.876799701572013	1	GA8
BA.2	61	2022-06-12	9	5	35575	280.29434848457	1023859.19614444	1.95441923264321	0.559676800960961	-0.495663526357701	-0.365677817449236	0.29542832935828	0.894051130840121	1	GA8
BA.2	61	2022-06-19	10	14	25573	923.389603081851	1836358.09492892	1.97655938543248	0.55338906178465	-0.495169563879623	-0.369958095820586	0.293707352618437	0.908641774782853	1	GA9
BA.2	61	2022-06-26	11	16	18262	1200.44676295587	2838456.37100914	2.00215898547531	0.550293216967035	-0.497454115456146	-0.367460731062893	0.292841501928346	0.920494196534698	1	GA9
BA.2	61	2022-07-03	12	42	14440	3328.48420825698	3965254.93714614	2.02260521610777	0.538082102303062	-0.501642931955941	-0.370402347021482	0.291834671268211	0.930393399752463	1	GA9
BA.2	61	2022-07-10	13	27	11180	2303.13448708445	5005564.25320751	2.01586201220228	0.544983939994947	-0.511950316085464	-0.370016151955542	0.294209934312309	0.938643005123208	1	GA9
BA.2	61	2022-07-17	14	41	7932	3717.5269455346	5885117.16894803	2.03906718578635	0.535264012954534	-0.517044659809751	-0.375819221316737	0.293600773495771	0.944864414939245	1	GA9
BA.2	61	2022-07-24	15	39	4696	4039.18596003942	6422823.52081653	2.09882930793051	0.486367272598309	-0.521911580233996	-0.36673582073368	0.291137963398677	0.949071615013943	1	GA9
BA.2	61	2022-07-31	16	36	2541	4417.50753662161	6593620.83257849	2.21683303370198	0.430383030541018	-0.508851343420686	-0.319249309946497	0.286443746540617	0.951768828357882	0.792848588676869	GA9
BA.2	61	2022-08-07	17	42	1579	5253.14035393095	6233476.40379074	2.35910270876298	0.322294373457089	-0.520733218947947	-0.314006530809347	0.278496832485775	0.953477220952762	0.199727274520695	GA9
BA.2	61	2022-08-14	18	45	1047	5813.06156185942	5696154.43489314	2.66752795560523	0.0761173423406629	-0.515231877037216	-0.242467112438381	0.25700565844222	0.954647191492965	0.00808411393371977	GA9
BA.2	61	2022-08-21	19	21	823	2366.94900899712	4991106.47697192	2.99121680627176	-0.185919882318761	-0.516772752923479	-0.190362944648961	0.227875160738266	0.955449618022486	-0.242439819222485	GA9
BA.2	61	2022-08-28	20	36	722	3689.39528062925	4504136.73843487	3.39974893429707	-0.475800228603211	-0.489177926313899	-0.142098984426082	0.194289045569603	0.956089685441166	-0.49703691134111	GA9
BA.2	61	2022-09-04	21	28	573	2711.46226996419	3791689.47073029	3.64173201533092	-0.699428845370651	-0.487085256764686	-0.0915901838217153	0.164790800179725	0.95656967964426	-0.643059909919551	GA9
BA.2	61	2022-09-11	22	40	616	3727.74651764576	3287965.6222265	3.93072358759359	-0.827538839607709	-0.500445513147322	-0.0688275577158911	0.13030080781633	0.957066275316253	-0.736497609853968	GA9
BA.2	61	2022-09-18	23	40	862	2991.05480200725	2898332.10314503	4.14269569140005	-1.13234063730761	-0.492128369237548	-0.0417691749513337	0.100075379266897	0.95762385569293	-0.785709604272416	GA9
BA.2	61	2022-09-25	24	36	887	2953.66196486018	2828377.4698507	4.27599830282812	-1.24558856244357	-0.515443311009439	-0.0206861012152343	0.0727743066637968	0.958253387598644	-0.833195562129001	GA9
BA.2	61	2022-10-02	25	31	915	2740.23173408592	2684719.94282766	4.33103777582429	-1.25383309084456	-0.553643427689725	-0.0047202815999635	0.0593497503010433	0.95895304032037	-0.86504812514545	GA9
BA.2	61	2022-10-09	26	48	1113	4272.45391470597	2546916.58990409	4.35146394924674	-1.2986473919644	-0.580826611744727	-0.0068600261939901	0.0483454251169099	0.95981001334179	-0.869971889765943	GA9
BA.2	61	2022-10-16	27	16	1205	1383.24389738489	2357047.60114386	4.39746938758121	-1.39000489385612	-0.599610314028014	0.126786728196287	0.0213715378474686	0.96071117283749	-0.745450913867534	GA9
BA.2	61	2022-10-23	28	19	1282	1629.82286538035	2075450.74883566	4.46210775365112	-1.42534137930365	-0.639291337381952	0.154986238677458	-0.006121978630015	0.96166245787698	-0.747895257424559	GA9
BA.2	61	2022-10-30	29	10	1460	764.906084829424	1768845.32116804	4.46820890013017	-1.4734741275712	-0.666944463532024	0.186716104374676	-0.0305886483636396	0.962628501655059	-0.6469007124723	GA9
BA.2	61	2022-11-06	30	9	1694	657.144955925563	1520487.39579932	4.49374221906978	-1.55872842307071	-0.676620636789083	0.279508442183288	-0.059378294166348	0.963698462565116	-0.630954093401123	GA9
BA.2	61	2022-11-13	31	4	1925	281.254894825687	1413446.47394648	4.52694505807461	-1.60479013107968	-0.694819017297497	0.294777320152159	-0.0804057879993502	0.964869327144731	-0.629792273065421	GA9
BA.2	61	2022-11-20	32	6	2268	462.169532355687	1391977.60319993	4.56657491498378	-1.63859910264938	-0.693429369622488	0.322688759663114	-0.0939061217809664	0.966380551513621	-0.638986039711708	GA9
BA.2	61	2022-11-27	33	5	2347	416.11383675681	1353285.41990049	4.58082901440267	-1.71613584436001	-0.671313008739232	0.353755565964183	-0.121281661697757	0.968070179439258	-0.717182669332471	GA9
BA.2	61	2022-12-04	34	7	2942	532.20115234706	1256146.77701116	4.58102009363489	-1.74548884955205	-0.664360195511314	0.303260373253148	-0.133032881674446	0.970005069417269	-0.799766265692099	GA9
BA.2	61	2022-12-11	35	7	3229	616.436925795053	1212003.05853104	4.59501833303721	-1.76246988237995	-0.636885844374238	0.28138718555169	-0.138169627057494	0.972464839341867	-0.837933562361123	GA9
BA.2	62	2022-07-03	12	5	14440	396.248120030593	3968187.17323437	1.83653269656314	0.372270618684604	-0.191303085952351	0.022835069445406	0.282280125771575	0.930393399752463	1	GA9
BA.2	62	2022-07-24	15	1	4696	103.568870770242	6426759.1379058	1.89986910070642	0.320724867564594	-0.211650149878747	0.026424753702003	0.281626541450155	0.949071615013943	1	GA9
BA.2	62	2022-07-31	16	1	2541	122.708542683934	6597915.63157243	2.00893671941132	0.264670073680504	-0.198573704329031	0.073925660328492	0.276919686174554	0.951768828357882	1	GA9
BA.2	62	2022-08-07	17	2	1579	250.149540663379	6238479.39460401	2.14281801129687	0.156363652591357	-0.210385056320195	0.0792298405199249	0.268921261429474	0.953477220952762	0.959506589857455	GA9
BA.2	62	2022-08-14	18	2	1047	258.358291638196	5701709.13816336	2.40093122862156	-0.0900767743201772	-0.204810674760063	0.150831031218273	0.24737244879008	0.954647191492965	0.408934112877876	GA9
BA.2	62	2022-08-21	19	2	823	225.423715142583	4993248.00226578	2.67267617473523	-0.351380272749579	-0.20658082152736	0.202743719932404	0.218425898861061	0.955449618022486	0.0525123113349841	GA9
BA.2	62	2022-08-28	20	6	722	614.899213438208	4507211.23450206	3.00108241889518	-0.641683769863825	-0.178861739597072	0.251123075878736	0.184750462111831	0.956089685441166	-0.0818691163653498	GA9
BA.2	62	2022-09-04	21	4	573	387.351752852028	3794013.5812474	3.18975163869814	-0.865209392293135	-0.17680936206921	0.301594922103398	0.155278810149984	0.95656967964426	0.173876866421648	GA9
BA.2	62	2022-09-11	22	8	616	745.549303529153	3290947.81944062	3.41977696330934	-0.993869164648452	-0.190018964907887	0.324497905664179	0.120681039811898	0.957066275316253	-0.02698200568362	GA9
BA.2	62	2022-09-18	23	4	862	299.105480200725	2901024.05246684	3.57833727188487	-1.29862277466038	-0.181719103483532	0.351527466457899	0.0904591326799063	0.95762385569293	0.504485384814329	GA9
BA.2	62	2022-09-25	24	8	887	656.369325524485	2830674.76249004	3.65733433914406	-1.41175686353012	-0.205066513275582	0.372598454788511	0.063183686811733	0.958253387598644	0.815433511858525	GA9
BA.2	62	2022-10-02	25	3	915	265.183716201863	2687194.99084555	3.7094931367834	-1.42013687401004	-0.243239181406385	0.388572151370435	0.0497340627898303	0.95895304032037	0.823844732258258	GA9
BA.2	62	2022-10-09	26	8	1113	712.075652450995	2550476.96816635	3.73282898891447	-1.46573518334429	-0.270190763786996	0.38664767889949	0.0385593598399634	0.95981001334179	0.656566936982906	GA9
BA.2	62	2022-10-16	27	8	1205	691.621948692445	2357739.22309255	3.75994608651828	-1.55541152171575	-0.289440972091206	0.519903179583212	0.0119473257502971	0.96071117283749	0.591561434936021	GA9
BA.2	62	2022-10-23	28	11	1282	943.581658904414	2076136.99004214	3.8144322397211	-1.59087566649575	-0.329085671165557	0.548152077436314	-0.0155714225864799	0.96166245787698	0.332102106431757	GA9
BA.2	62	2022-10-30	29	16	1460	1223.84973572708	1768386.37751714	3.78422853467091	-1.63822719734553	-0.35696100787646	0.579720328588002	-0.0398687206893235	0.962628501655059	0.397919960723808	GA9
BA.2	62	2022-11-06	30	9	1694	657.144955925563	1520487.39579932	3.79926785583666	-1.72376199875602	-0.366563249946365	0.672545614380329	-0.0687207164352645	0.963698462565116	0.151713057650305	GA9
BA.2	62	2022-11-13	31	24	1925	1687.52936895412	1412040.19947236	3.82332370673059	-1.76870245149175	-0.385097683911547	0.687615672914298	-0.0895027612062946	0.964869327144731	-0.0410846396795486	GA9
BA.2	62	2022-11-20	32	37	2268	2850.04544952673	1389589.72728276	3.82426529270086	-1.80186321288468	-0.383938176529132	0.715425228584725	-0.102866255451588	0.966380551513621	-0.0449148979862349	GA9
BA.2	62	2022-11-27	33	28	2347	2330.23748583814	1351371.29625141	3.81867909692061	-1.87975523753274	-0.361755209956624	0.746509748728976	-0.130328041076453	0.968070179439258	0.104730735183307	GA9
