VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
XBB	2022-10-02	25280.8476112443	0.00239642645733986	0	0	0	0	0	0	0	0
XBB	2022-10-09	42457.5107773906	0.00460747416609303	0.216130506577244	0.0094251654791748	4.52273093778558E-05	-0.0020626334316752	0.216130506577244	0.0094251654791748	4.52273093778558E-05	-0.0020626334316752
XBB	2022-10-16	42361.8443574122	0.00681353988191197	0.177516497956941	-0.000964254402740136	-0.00878992436135301	-0.00203523815788493	0.120740643931896	-0.0103894198819149	-0.00883515167073087	2.73952737902704E-05
XBB	2022-10-23	43576.316611222	0.0090828513237512	0.172062705174509	-0.0253791481195969	-0.00667735807499599	-0.00463155106388684	0.161510645154097	-0.0244148937168568	0.00211256628635703	-0.00259631290600191
XBB	2022-10-30	37403.9075481588	0.0110307239749857	0.176321925539312	-0.04676619316573	0.00649942082457387	-0.00459110122420521	0.148760113374044	-0.0213870450461331	0.0131767788995699	4.04498396816294E-05
XBB	2022-11-06	52352.5481554032	0.0137570727299399	0.206589205827568	-0.0484608338892629	0.00813729506198076	-0.00380761741207036	0.14306020544604	-0.00169464072353288	0.00163787423740689	0.000783483812134848
XBB	2022-11-13	69188.7041271189	0.017360193189214	0.242806086708673	-0.0751153303982606	0.000279222809710502	-0.00536615508296378	0.145413287136541	-0.0266544965089977	-0.00785807225227025	-0.00155853767089342
XBB	2022-11-20	83190.5158240236	0.0216924820124356	0.259678577904778	-0.0481308826340326	0.0199887982387982	-0.00395692715042083	0.151758067759779	0.026984447764228	0.0197095754290876	0.00140922793254294
XBB	2022-11-27	114930.641712231	0.0276776923408443	0.292630774503275	-0.0767119574469703	0.0269215831236104	-0.00433342448686709	0.17165787709706	-0.0285810748129376	0.00693278488481223	-0.000376497336446252
XBB	2022-12-04	169163.937710315	0.0364871945945005	0.363763500702475	-0.0736557709860927	0.0677270212933132	-0.00383781743423891	0.190669805996665	0.00305618646087754	0.0408054381697027	0.000495607052628185
XBB	2022-12-11	227641.350454316	0.0483420084336463	0.412906893410756	-0.0759897493974113	0.0869678619253083	-0.00274455204835572	0.114801808500612	-0.00233397841131855	0.0192408406319951	0.00109326538588318
XBB	2022-12-18	252392.228449353	0.0614857667040256	0.431372983102643	-0.051243563872548	0.166241779169011	-0.00232994399004375	0.172069823730753	0.0247461855248634	0.0792739172437031	0.00041460805831198
XBB	2022-12-25	257933.66205523	0.0749181046356508	0.460727921703555	-0.0124223978081621	0.261854608078489	0.00167822298690641	0.217056510035177	0.0388211660643859	0.095612828909477	0.00400816697695016
XBB	2023-01-01	295740.035031847	0.0903192742961189	0.56933037702823	0.00887077599145427	0.402079211272867	0.00504315219893769	0.255479077716184	0.0212931737996166	0.140224603194379	0.00336492921203126
XBB	2023-01-08	339540.285200832	0.1080014171226	0.64249200746016	0.0453354825054795	0.512341087747742	0.00718185445413735	0.217074292054037	0.036464706514025	0.110261876474875	0.00213870225519967
XBB	2023-01-15	427472.117710876	0.130262760972363	0.700983530084073	0.0918881101142917	0.567144868385727	0.00927847409196876	0.14639732914131	0.0465526276088119	0.054803780637985	0.00209661963783143
XBB	2023-01-22	464889.043659342	0.154472655428889	0.783422249214431	0.165923957733743	0.636963906885097	0.0107764426033364	0.146143757015211	0.0740358476194515	0.0698190384993702	0.00149796851136759
XBB	2023-01-29	472112.433297828	0.179058720292421	0.812218628841101	0.201429554627554	0.671017344647643	0.0111980003431394	0.0963044697574815	0.0355055968938114	0.0340534377625465	0.000421557739803028
XBB	2023-02-05	480276.902397143	0.204069963890286	0.840738092697408	0.223563715274146	0.688271337677961	0.00961089650942061	0.0840344513791789	0.0221341606465917	0.0172539930303173	-0.00158710383371877
XBB	2023-02-12	530918.16350426	0.231718438034386	0.860876377858313	0.236913845029984	0.704267170037238	0.0112716837906449	0.0787490802959009	0.0133501297558374	0.0159958323592772	0.00166078728122425
XBB	2023-02-19	556660.207202851	0.260707473264057	0.865957535227964	0.237139859847724	0.705953459073564	0.0118309516818457	0.0649754514036334	0.000226014817740491	0.00168628903632487	0.000559267891200865
XBB	2023-02-26	598038.720116332	0.291851365537719	0.87787973052522	0.23906017308016	0.712789668668725	0.0118675985297198	0.0607142245640419	0.00192031323243616	0.00683620959516177	3.66468478740847E-05
XBB	2023-03-05	616031.513151515	0.323932263374969	0.896166420715618	0.231591414742275	0.712907819053193	0.0121557026882627	0.0684120262507926	-0.00746875833788555	0.00011815038446826	0.000288104158542873
XBB	2023-03-12	584865.472466451	0.354390136178817	0.899631857218151	0.22905132582711	0.71201843733579	0.0130225136993695	0.0743092336321019	-0.00254008891516466	-0.000889381717403089	0.000866811011106857
XBB	2023-03-19	567077.947662494	0.383921693114352	0.91891144059106	0.228456508213986	0.706807579700024	0.0125303167100374	0.0911003909130777	-0.000594817613124308	-0.00521085763576593	-0.000492196989332102
XBB	2023-03-26	558026.59787627	0.412981885482358	0.937359178668482	0.236388406015408	0.704167489293508	0.01196731999845	0.101907592827843	0.00793189780142212	-0.00264009040651591	-0.000562996711587441
XBB	2023-04-02	609676.545266143	0.444731837465155	0.977533638689187	0.222610605281511	0.690398280964318	0.0111499678073531	0.132767920576035	-0.013777800733897	-0.0137692083291899	-0.000817352191096963
