VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
WT	2021-04-11	1	0.906419989	3.367190822	1.210909091	1.219050649	0.371070085	All
WT	2021-04-25	1	0.925778448	3.520314777	1.210909091	1.156650649	0.399744949	All
WT	2021-05-02	1	0.935318635	3.546059981	1.240909091	1.483750649	0.371070085	All
WT	2021-05-09	1	0.943785045	3.550461687	1.210909091	1.219050649	0.371070085	All
WT	2021-05-16	1	0.950844628	3.68035774	1.210909091	1.483750649	0.371070085	All
WT	2021-05-23	1	0.956925642	3.550461687	1.210909091	1.483750649	0.399744949	All
WT	2021-05-30	1	0.961759089	3.550461687	1.210909091	1.325850649	0.371070085	All
WT	2021-06-06	1	0.966181081	3.550461687	1.210909091	1.483750649	0.371070085	All
WT	2021-06-13	1	0.970182321	3.68035774	1.210909091	1.483750649	0.399744949	All
WT	2021-06-20	1	0.974291134	3.68035774	1.210909091	1.483750649	0.385841312	All
WT	2021-06-27	1	0.977486644	3.68035774	1.210909091	1.483750649	0.385841312	All
WT	2021-07-04	1	0.980481174	3.68035774	1.210909091	1.325850649	0.399744949	All
WT	2021-07-11	1	0.982970177	3.68035774	1.210909091	1.483750649	0.385841312	All
WT	2021-07-18	1	0.985886937	3.741978479	1.210909091	1.483750649	0.385841312	All
WT	2021-07-25	1	0.987582943	3.741978479	1.210909091	1.483750649	0.399744949	All
WT	2021-08-01	1	0.98885794	3.741978479	1.210909091	1.483750649	0.385841312	All
WT	2021-08-08	1	0.991582202	3.741978479	1.210909091	1.483750649	0.399744949	All
WT	2021-08-15	1	0.992847256	3.741978479	1.210909091	1.483750649	0.399744949	All
WT	2021-08-29	1	0.995343232	3.741978479	1.210909091	1.483750649	0.385841312	All
WT	2021-09-12	1	0.995977723	3.741978479	1.210909091	0.884750649	0.385841312	All
WT	2021-09-19	1	0.99622944	3.741978479	1.210909091	0.884750649	0.385841312	All
WT	2021-04-18	1	0.916186692	3.462832063	1.210909091	1.156650649	0.371070085	All
WT	2021-08-22	1	0.994860972	3.741978479	1.210909091	1.483750649	0.399744949	All
WT	2021-09-05	1	0.99570758	3.741978479	1.210909091	1.326450649	0.385841312	All
Alpha	2020-11-15	1	0.00308411	0.376884773	0.202621035	0.439406177	0.023771118	All
Alpha	2020-11-22	1	0.005215636	0.376884773	0.202621035	0.355083639	0.023771118	All
Alpha	2020-11-29	1	0.007850183	0.393579831	0.202621035	0.338383639	0.023771118	All
Alpha	2020-12-06	1	0.009941754	0.430508205	0.202621035	0.573683639	0.023771118	All
Alpha	2020-12-13	1	0.016507336	0.690479319	0.381953255	0.975083639	0.023771118	All
Alpha	2020-12-20	1	0.028726601	0.539369757	0.221953255	0.931483639	0.333814023	All
Alpha	2020-12-27	1	0.040115993	0.690479319	0.381953255	0.643283639	0.090545861	All
Alpha	2021-01-03	1	0.055832964	0.720981502	0.381953255	0.931483639	0.333814023	All
