VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape	Cha_AntigenicDistanceABS	Cha_ChangeACE2binding	Cha_ChangeCellEntry	Cha_ChangeImmuneEscape
WT	2020-02-02	1.57313687408105e-06	1.02154225850103	0.267662337662338	0.0558506493506494	0.0944077995324675	0.234110116436364	0.0009090909090909	0.0558506493506494	0	0.787432142064666	0.266753246753247	0	0.0944077995324675
WT	2020-02-09	3.68878750210056e-06	0.496649007064935	0.620909090909091	0.212950649350649	0	0.234110116436364	0.0009090909090909	0.0558506493506494	0	0.262538890628571	0.62	0.1571	0
WT	2020-02-16	8.71779309329449e-06	0.902839151064935	0.0009090909090909	0.244150649350649	0	0.346784900064935	0.0009090909090909	0.0558506493506494	0	0.556054251	0	0.1883	0
WT	2020-02-23	2.85650237799202e-05	0.510454971064935	0.0009090909090909	0.563650649350649	0	0.370498920636364	0.0009090909090909	0.0558506493506494	0	0.139956050428571	0	0.5078	0
WT	2020-03-01	0.0001030810135225	0.542192449064935	0.170909090909091	0.244150649350649	0.0080218039220779	0.370498920636364	0.0009090909090909	0.0558506493506494	0	0.171693528428571	0.17	0.1883	0.0080218039220779
WT	2020-03-08	0.0003482278001651	2.53932821319481	0.170909090909091	0.781550649350649	0.260546933922078	0.496649007064935	0.0009090909090909	0.244150649350649	0	2.04267920612988	0.17	0.5374	0.260546933922078
WT	2020-03-15	0.0010716318840975	0.741206035064935	0.170909090909091	0.781550649350649	0.0080218039220779	0.579473373064935	0.0009090909090909	0.409750649350649	0	0.161732662	0.17	0.3718	0.0080218039220779
WT	2020-03-22	0.00275027987806	2.40671893635065	0.620909090909091	0.91805064935065	0.260546933922078	0.579473373064935	0.620909090909091	0.409750649350649	0.0086242529220779	1.82724556328571	0	0.508300000000001	0.251922681
WT	2020-03-29	0.0056006504301894	0.699062284064935	0.900909090909091	0.781550649350649	0.0949928899220779	0.579473373064935	0.620909090909091	0.50035064935065	0.0086242529220779	0.119588911	0.28	0.281199999999999	0.086368637
WT	2020-04-05	0.009463069559673	0.733755457064935	0.900909090909091	0.781550649350649	0.0949928899220779	0.727069472064935	0.620909090909091	0.740350649350649	0	0.00668598499999995	0.28	0.0412	0.0949928899220779
WT	2020-04-12	0.0137755442714219	1.02154225850103	0.900909090909091	0.781550649350649	0.0949928899220779	0.727069472064935	0.620909090909091	0.740350649350649	0	0.294472786436095	0.28	0.0412	0.0949928899220779
WT	2020-04-19	0.0183071722373007	0.737699705064935	0.620909090909091	0.781550649350649	0.260546933922078	0.727069472064935	0.620909090909091	0.740350649350649	0	0.010630233	0	0.0412	0.260546933922078
WT	2020-04-26	0.0229007202178504	1.35190400416883	0.900909090909091	0.781550649350649	0.0949928899220779	0.727069472064935	0.620909090909091	0.740350649350649	0	0.624834532103895	0.28	0.0412	0.0949928899220779
WT	2020-05-03	0.0277184235168321	3.01900584301299	0.880909090909091	0.574150649350649	0.342005953922078	0.699062284064935	0.620909090909091	0.50105064935065	0.0011929739220779	2.31994355894806	0.26	0.0730999999999989	0.34081298
WT	2020-05-10	0.0327394572697012	2.25003227622078	1.21090909090909	0.740350649350649	0.289747810922078	0.699062284064935	0.900909090909091	0.563650649350649	0.0073138529220779	1.55096999215585	0.309999999999999	0.1767	0.282433958
WT	2020-05-17	0.0381890708494009	1.01917897327273	0.620909090909091	0.740350649350649	0.0949928899220779	0.699062284064935	0.620909090909091	0.50035064935065	0	0.320116689207795	0	0.239999999999999	0.0949928899220779
WT	2020-05-24	0.0440725621986863	1.01917897327273	0.880909090909091	0.781550649350649	0.260546933922078	0.539282767064935	0.0009090909090909	0.50035064935065	0	0.479896206207795	0.88	0.281199999999999	0.260546933922078
WT	2020-05-31	0.0506340734270367	1.18465203306494	0.620909090909091	0.740350649350649	0.260546933922078	0.542144096064935	0.620909090909091	0.50105064935065	0	0.642507937000005	0	0.239299999999999	0.260546933922078
WT	2020-06-07	0.0577884093828353	1.08079486906493	0.900909090909091	0.740350649350649	0.0949928899220779	0.623051020415584	0.620909090909091	0.527350649350649	0.0086242529220779	0.457743848649346	0.28	0.213	0.086368637
WT	2020-06-14	0.0658165674020525	0.741206035064935	1.63090909090909	0.740350649350649	0.0949928899220779	0.699062284064935	0.620909090909091	0.527350649350649	0.0003765469220779	0.042143751	1.01	0.213	0.094616343
WT	2020-06-21	0.0747520640732224	0.73934084	1.63090909090909	0.740350649350649	0.0257302439220779	0.699062284064935	0.620909090909091	0.563650649350649	0.0003765469220779	0.040278555935065	1.01	0.1767	0.025353697
WT	2020-06-28	0.0849187451298766	0.73934084	1.63090909090909	0.740350649350649	0.260546933922078	0.732805071727273	0.620909090909091	0.563650649350649	0	0.00653576827272695	1.01	0.1767	0.260546933922078
WT	2020-07-05	0.0962289090084784	0.737699705064935	1.63090909090909	0.740350649350649	0.260546933922078	0.711204186064935	0.620909090909091	0.563650649350649	0.0086242529220779	0.026495519	1.01	0.1767	0.251922681
WT	2020-07-12	0.108712681422382	1.38132795793506	1.63090909090909	0.781550649350649	0.260546933922078	0.699062284064935	0.620909090909091	0.563650649350649	0	0.682265673870125	1.01	0.2179	0.260546933922078
WT	2020-07-19	0.122356259894192	1.38149116019481	1.63090909090909	0.689350649350649	0.260546933922078	0.699062284064935	1.63090909090909	0.689350649350649	0.0086242529220779	0.682428876129875	0	0	0.251922681
WT	2020-07-26	0.137248701553381	1.38352409706493	1.63090909090909	0.638450649350649	0.260546933922078	0.594188096727273	1.63090909090909	0.563650649350649	0.0086242529220779	0.789336000337657	0	0.0748	0.251922681
WT	2020-08-02	0.152890215371719	0.947147337727273	0.880909090909091	0.740350649350649	0.260546933922078	0.733755457064935	0.620909090909091	0.685350649350649	0.0086242529220779	0.213391880662338	0.26	0.0549999999999999	0.251922681
WT	2020-08-09	0.168955658572995	3.27621007583117	1.63090909090909	0.781550649350649	0.342005953922078	0.755103586064935	1.63090909090909	0.685350649350649	0.0086242529220779	2.52110648976624	0	0.0962	0.333381701
WT	2020-08-16	0.184942031546973	1.96033544906494	1.63090909090909	0.689350649350649	0.365414853922078	0.920555685064935	1.63090909090909	0.685350649350649	0.0118509499220779	1.03977976400001	0	0.004	0.353563904
WT	2020-08-23	0.201065042801596	1.05631791506493	1.63090909090909	0.689350649350649	0.260546933922078	0.920555685064935	1.63090909090909	0.685350649350649	0.260546933922078	0.135762229999995	0	0.004	0
WT	2020-08-30	0.217482950986339	2.89527947483117	1.63090909090909	0.685350649350649	0.365414853922078	0.897517341064935	1.63090909090909	0.50105064935065	0.0118509499220779	1.99776213376623	0	0.184299999999999	0.353563904
WT	2020-09-06	0.234288431135776	1.05631791506493	1.63090909090909	0.689350649350649	0.260546933922078	0.915086559064935	1.63090909090909	0.563650649350649	0.260546933922078	0.141231355999995	0	0.1257	0
WT	2020-09-13	0.251701561421753	1.14836868106493	1.63090909090909	0.689350649350649	0.260546933922078	1.14836868106493	1.63090909090909	0.563650649350649	0.0335563719220779	0	0	0.1257	0.226990562
WT	2020-09-20	0.269477863537581	1.36912021906493	1.63090909090909	0.689350649350649	0.260546933922078	1.14836868106493	1.63090909090909	0.50545064935065	0.0944077995324675	0.220751538	0	0.183899999999999	0.166139134389611
WT	2020-09-27	0.287762101124902	1.36912021906493	1.63090909090909	0.921450649350649	0.260546933922078	1.14836868106493	1.63090909090909	0.50545064935065	0.260546933922078	0.220751538	0	0.415999999999999	0
WT	2020-10-04	0.306834658948978	2.89527947483117	1.63090909090909	0.921450649350649	0.342005953922078	1.02154225850103	1.63090909090909	0.658150649350649	0.260546933922078	1.87373721633014	0	0.2633	0.08145902
WT	2020-10-11	0.327325768843035	1.38132795793506	1.63090909090909	0.921450649350649	0.260546933922078	1.22368266720779	1.63090909090909	0.563650649350649	0.260546933922078	0.15764529072727	0	0.3578	0
WT	2020-10-18	0.350551768306467	2.14739679062338	1.63090909090909	0.685350649350649	0.365414853922078	1.22584637420779	0.880909090909091	0.563650649350649	0.260546933922078	0.92155041641559	0.749999999999999	0.1217	0.10486792
WT	2020-10-25	0.377106708810082	2.89527947483117	1.63090909090909	0.685350649350649	0.365414853922078	1.96033544906494	0.880909090909091	0.563650649350649	0.365414853922078	0.93494402576623	0.749999999999999	0.1217	0
WT	2020-11-01	0.407189635202304	2.89527947483117	1.63090909090909	0.689350649350649	0.342005953922078	2.89527947483117	0.880909090909091	0.598650649350649	0.342005953922078	0	0.749999999999999	0.0907	0
WT	2020-11-08	0.439806669824025	1.96033544906494	1.63090909090909	0.685350649350649	0.365414853922078	1.96033544906494	0.880909090909091	0.563650649350649	0.365414853922078	0	0.749999999999999	0.1217	0
WT	2020-11-15	0.473410340668171	1.96033544906494	1.63090909090909	0.685350649350649	0.365414853922078	1.96033544906494	0.880909090909091	0.598650649350649	0.365414853922078	0	0.749999999999999	0.0867	0
WT	2020-11-22	0.507430340269146	3.02383634983117	1.63090909090909	0.921450649350649	0.365414853922078	2.14739679062338	0.880909090909091	0.598650649350649	0.365414853922078	0.87643955920779	0.749999999999999	0.3228	0
WT	2020-11-29	0.541642980945069	2.14739679062338	1.63090909090909	0.685350649350649	0.365414853922078	2.14739679062338	0.970909090909091	0.598650649350649	0.365414853922078	0	0.659999999999999	0.0867	0
WT	2020-12-06	0.576966608008618	2.89527947483117	1.63090909090909	0.91805064935065	0.365414853922078	2.89527947483117	0.970909090909091	0.632250649350649	0.365414853922078	0	0.659999999999999	0.285800000000001	0
WT	2020-12-13	0.611393811211892	2.89527947483117	1.63090909090909	0.685350649350649	0.365414853922078	2.89527947483117	0.900909090909091	0.632250649350649	0.365414853922078	0	0.729999999999999	0.0531	0
WT	2020-12-20	0.642545405577149	2.89527947483117	1.63090909090909	0.921450649350649	0.365414853922078	2.89527947483117	0.970909090909091	0.632250649350649	0.365414853922078	0	0.659999999999999	0.2892	0
WT	2020-12-27	0.673723403039022	3.13081848883117	1.63090909090909	0.921450649350649	0.365414853922078	2.89527947483117	0.970909090909091	0.638450649350649	0.365414853922078	0.235539014	0.659999999999999	0.283	0
WT	2021-01-03	0.703897193093654	3.14868592283117	1.63090909090909	0.685350649350649	0.365414853922078	2.89527947483117	0.970909090909091	0.638450649350649	0.365414853922078	0.253406448	0.659999999999999	0.0469000000000001	0
WT	2021-01-10	0.735328697599812	3.18803458183117	0.970909090909091	0.826750649350649	0.365414853922078	2.89527947483117	0.970909090909091	0.638450649350649	0.365414853922078	0.292755107	0	0.1883	0
WT	2021-01-17	0.764614500591222	3.18803458183117	1.63090909090909	0.685350649350649	0.365414853922078	2.89527947483117	0.970909090909091	0.638450649350649	0.365414853922078	0.292755107	0.659999999999999	0.0469000000000001	0
WT	2021-01-24	0.789604179154405	3.18803458183117	1.63090909090909	1.15665064935065	0.365414853922078	3.15383343383117	0.970909090909091	1.15665064935065	0.365414853922078	0.0342011479999997	0.659999999999999	0	0
WT	2021-01-31	0.806841961135029	3.18803458183117	1.63090909090909	1.15665064935065	0.365414853922078	3.15383343383117	0.900909090909091	1.15665064935065	0.365414853922078	0.0342011479999997	0.729999999999999	0	0
WT	2021-02-07	0.822823199339042	3.25652482283117	1.21090909090909	1.15665064935065	0.365414853922078	3.15383343383117	0.900909090909091	1.15665064935065	0.365414853922078	0.102691389	0.309999999999999	0	0
WT	2021-02-14	0.835231382173922	3.33452003118182	0.970909090909091	1.15665064935065	0.371070084922078	3.18803458183117	0.900909090909091	1.15665064935065	0.371070084922078	0.14648544935065	0.0700000000000001	0	0
WT	2021-02-21	0.845237251463982	3.22756810383117	1.21090909090909	1.15665064935065	0.371070084922078	3.18803458183117	1.21090909090909	1.15665064935065	0.371070084922078	0.0395335220000002	0	0	0
WT	2021-02-28	0.854434157325655	3.25652482283117	0.970909090909091	1.15665064935065	0.365414853922078	3.18583036983117	0.900909090909091	1.15665064935065	0.365414853922078	0.0706944530000002	0.0700000000000001	0	0
WT	2021-03-07	0.863130897044671	3.22339512983117	0.970909090909091	1.15665064935065	0.371070084922078	3.18803458183117	0.900909090909091	1.15665064935065	0.371070084922078	0.0353605479999999	0.0700000000000001	0	0
