VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
BA.4/5	805	2022-09-18	23	8	38792	598.2109604	2900724.947	0.516639339	0.215783618	0.005868041	0.04310726	-0.02727136	0.70374051	1	GA7
BQ.1	203	2022-12-25	16	17	19772	1636.146364	1902934.465	0.685537054	-0.026436863	0.006118551	-0.357531883	-0.105435599	0.617224348	-0.68297855	GA6
XBB	1374	2023-02-26	22	7	10254	407.9788559	597630.7413	0.433623099	0.23159855	0.021930611	0.03026264	0.003990477	0.291851366	-0.45936597	GA2
XBB	1307	2023-01-08	15	1	3786	89.65943628	339450.6258	0.668374101	0.286745188	0.222379192	0.189253803	0.008682794	0.108001417	1	GA1
Delta	235	2021-09-26	29	24	71547	1143.245139	3408156.664	0.527307545	0.043735188	0.009790558	0.013262542	-0.000862326	0.508350769	0.984105738	GA5
XBB	1409	2023-01-29	18	1	6745	69.98405474	472042.4492	0.802858006	0.599343346	0.063702935	-0.128630094	0.004657328	0.17905872	0.634421659	GA1
BA.4/5	110	2022-11-20	32	33	18044	2541.932428	1389897.84	0.903564175	0.528929701	0.13249262	0.243963125	0.176066911	0.900548535	0.317975057	GA9
BA.4/5	470	2022-06-05	8	1	10772	57.47503897	619121.1197	0.426979121	0.219906673	-0.077160494	0.147488697	0.095009056	0.015841009	0.472514109	GA0
Alpha	57	2021-06-13	31	15	15203	1207.817425	1224163.221	0.436373346	0.152995111	0.018625969	0.116225865	-0.00409182	0.946318771	0.701639772	GA9
Alpha	36	2021-01-24	11	5	12195	568.8621914	1387454.885	0.2204384	0.077005621	0.006594262	0.581991451	-0.000481921	0.116574844	0.698170601	GA1
Delta	321	2021-10-24	33	25	83243	900.8565017	2999599.911	0.672185509	-0.391364193	0.006916463	-0.101549625	-0.001393339	0.621494092	-0.52592018	GA6
BA.2	924	2022-02-06	8	13	18069	2412.411041	3353065.777	0.260959474	0.1842646	0.012160712	0.147198218	0.000362067	0.085787558	0.426012895	GA0
Delta	763	2021-08-22	24	8	116065	296.3711523	4299789.724	0.438699598	0.060136487	0.006619369	-0.000738861	-0.000545631	0.323999739	-0.222084483	GA3
Delta	732	2021-11-21	37	37	101443	1381.683496	3788165.374	0.467796112	-0.109805311	0.006557253	-0.259667464	-0.001551247	0.749249206	0.051636382	GA7
Delta	51	2021-06-20	15	1	12689	90.22720711	1144893.031	0.868771594	-0.856973076	0.006022065	-0.095610851	-0.001822251	0.052798323	0.879458942	GA0
Alpha	329	2021-02-28	16	3	28294	165.6548343	1562345.961	0.255025727	0.095861971	0.009058911	0.26447239	-0.00067275	0.23699623	0.812328055	GA2
BQ.1	38	2023-01-15	19	28	11207	2735.196366	1094762.345	0.58370487	-0.326003746	0.00681887	0.184320688	0.035175531	0.845208889	-0.102292422	GA8
BQ.1	36	2022-12-11	14	4	19587	352.2496719	1724878.581	0.491080297	-0.153822352	0.005259048	-0.327606996	-0.096974067	0.415127745	-0.508794733	GA4
Alpha	11	2020-12-13	5	24	2165	4456.253764	401991.2249	0.224101555	0.168216928	0.002370946	-0.53072509	-0.000226864	0.016507336	-0.712499564	GA0
BA.2	924	2022-01-30	7	12	11690	2562.342792	2496148.937	0.266657104	0.165301106	0.024771834	0.184952702	-0.000656989	0.056761353	0.427365117	GA0
BA.1	106	2022-02-20	13	4	69772	482.1382309	8409937.161	0.424701417	0.313705775	0.05279554	0.245809549	0.005652636	0.865301287	1	GA8
WT	276	2020-10-25	39	5	13418	1140.805541	3061465.75	0.41626023	-0.046477697	-0.049019593	-0.082335543	-0.001738398	0.377106709	1	GA3
BA.2	37	2022-10-09	43	3	1110	267.0283697	98800.49678	2.42894457	0.725984141	0.480469124	-0.982312671	0.261218157	0.959810013	0.41175386	GA9
XBB	12	2023-10-01	53	193	10016	2827.677222	146746.192	0.890497765	-0.353141937	0.385979758	-0.040985763	-0.013472817	0.890220446	-0.535462655	GA8
BQ.1	523	2022-11-13	10	4	9762	281.2548948	686402.5708	0.579985816	0.450021397	0.006573828	0.223191134	0.059929499	0.1397126	0.451773074	GA1
Delta	934	2021-10-17	32	72	70339	3006.556083	2937196.504	0.826239882	-0.004733769	0.008266748	0.10591833	-0.00117765	0.593410933	-0.365707966	GA5
BA.2	17	2023-01-08	56	132	3518	11835.04559	315421.8968	1.465124906	-0.038324583	-0.500963692	0.499966207	0.037780566	0.983795554	-0.545642417	GA9
WT	524	2021-02-14	55	2	20814	137.494959	1430910.038	0.934614866	0.049106381	-0.066290354	0.202259463	-0.034740865	0.835231382	-0.381365654	GA8
XBB	63	2023-11-26	61	5	7288	129.9153081	189364.553	1.131247452	0.042179287	-0.341784344	0.151251256	-0.021039484	0.954150838	1	GA9
Delta	726	2021-05-30	12	1	9517	86.93795048	827388.4747	0.535488964	-0.314356873	0.005773272	0.154496609	-0.000770324	0.023153163	-0.229192052	GA0
Alpha	200	2021-05-16	27	15	37735	1462.964317	3680330.566	0.22676375	-0.012958562	0.008712848	0.04225182	-0.002682298	0.817988595	0.253409132	GA8
Delta	958	2021-08-29	25	21	95270	976.5958766	4430489.96	0.58067591	0.149744517	0.007443305	0.052079503	-0.000663052	0.365476009	-0.605593884	GA3
Delta	50	2021-10-03	30	6	72183	263.7714632	3173302.588	0.521364727	-0.138343387	0.01634418	-0.125344092	-0.001177184	0.538053734	-0.456294279	GA5
BQ.1	37	2022-10-23	7	33	3883	2830.744977	333084.3256	0.530452338	-0.14774528	0.005377937	0.172951731	0.06538149	0.054069288	0.118028358	GA0
Delta	158	2021-10-03	30	10	72179	439.6191053	3173126.74	0.514623755	0.013124384	0.01634418	-0.177353722	-0.001177175	0.538053734	0.192818908	GA5
Delta	717	2021-11-28	38	13	94112	558.0774294	4040137.157	0.666151886	0.092399784	0.005705498	-0.15946944	-0.001163818	0.787068056	-0.288861245	GA7
Delta	97	2021-10-31	34	59	90331	2023.175612	3097550.444	0.81238457	-0.279294065	0.006802633	0.157773095	-0.001490619	0.650504522	0.356951497	GA6
Alpha	318	2021-05-02	25	51	48402	4562.131791	4329731.43	0.284120089	0.061936312	0.008913793	0.157210587	-0.001975126	0.693154342	-0.306747275	GA6
Delta	231	2021-05-09	9	1	3185	92.13427488	293447.6655	0.590557327	0.303529456	0.009657878	0.233865998	-0.001605235	0.007572932	-0.630165722	G0
Delta	89	2021-10-31	34	22	90368	754.4044655	3098819.215	0.902204943	-0.372953885	0.006802633	0.157662868	-0.001490674	0.650504522	-0.176071459	GA6
WT	142	2021-02-21	56	65	19224	3888.699139	1150097.727	1.432213539	0.509943906	0.004914835	-0.386330908	0.055104325	0.845237251	-0.535487648	GA8
Alpha	483	2021-02-28	16	3	28294	165.6548343	1562345.961	0.161744786	0.002542437	0.009058911	0.032847838	-0.00067275	0.23699623	0.017135297	GA2
WT	105	2020-05-31	18	3	2908	779.8818276	755965.4515	0.261684507	0.111300367	0.004555136	0.066136365	-0.000676018	0.050634073	-0.780324381	GA0
WT	1187	2021-02-28	57	18	19191	993.9290058	1059693.975	1.413994956	0.361569936	0.005543954	-0.069333246	0.041292998	0.854434157	-0.104120733	GA8
Alpha	12	2021-03-07	17	52	31746	2911.800462	1777654.182	0.265140371	0.103796153	0.006106044	-0.173915237	-0.000598143	0.265758744	-0.014893351	GA2
Alpha	409	2021-05-23	28	12	32076	1107.070425	2959199.246	0.321350407	0.067965556	0.011903204	-0.098746785	-0.003542018	0.865808138	-0.280621145	GA8
XBB	7	2023-11-19	60	635	7066	14364.24193	159838.9503	0.910854391	-0.142860609	-0.378037407	0.118519864	-0.013504977	0.944282589	-0.231586245	GA9
WT	116	2020-06-14	20	1	4540	203.8967415	925691.2065	0.407408804	0.255713678	-0.012715261	-0.233798213	-0.000427633	0.065816567	0.392080012	GA0
BQ.1	162	2023-01-15	19	6	11229	586.1135069	1096911.428	1.225999996	-0.97706598	0.00681887	0.241963197	-0.09905077	0.845208889	-0.399874852	GA8
WT	1102	2021-01-10	50	7	27975	906.8392987	3624118.483	0.886498697	0.260447506	-0.050310914	0.492881649	-0.015553387	0.735328698	1	GA7
Alpha	127	2021-03-14	18	11	39883	577.3983791	2093489.05	0.359518611	0.191841765	0.007604151	-0.288044369	-0.000981885	0.299585413	0.78394228	GA2
WT	41	2020-03-08	6	5	1692	83.30292329	28189.70924	0.362804319	0.287824316	0.003394225	-0.231268928	-0.000748651	0.000348228	-0.768704569	G0
BA.4/5	201	2022-12-04	34	9	16520	684.2586244	1255994.72	0.69912571	0.284026181	0.011718192	0.169717454	0.055570418	0.928165587	0.156854322	GA9
BA.2	2734	2022-05-08	21	3	47155	221.1535858	3476165.78	0.882143289	-0.049585475	-0.002109526	0.08803704	-0.011835146	0.782166407	1	GA7
WT	425	2021-01-10	50	12	27970	1554.581655	3623470.741	0.841150713	0.257139283	-0.050310914	-0.141213754	-0.015553387	0.735328698	-0.924368048	GA7
Alpha	200	2021-06-06	30	13	18831	1078.032945	1561572.184	0.246599895	-0.030063948	0.018318298	0.036014245	-0.003672173	0.926524643	-0.539097119	GA9
BA.1	113	2022-01-09	7	1	77886	168.2206477	13102033.37	0.418947457	0.072837115	-0.074556986	-0.122028204	-0.006676268	0.184119982	-0.625662068	GA1
Delta	411	2021-08-22	24	48	116025	1778.226914	4298307.869	0.816684458	0.04481606	0.006619369	0.295664995	-0.000545596	0.323999739	-0.170712444	GA3
BA.2	384	2022-05-01	20	2	50246	152.7075273	3836471.208	0.719587699	0.44564912	-0.023049475	0.030681543	-0.008524077	0.752094294	0.42433843	GA7
WT	231	2020-07-19	25	32	6863	7302.807888	1566224.079	0.370188171	0.11037031	-0.108152284	-0.059224162	-0.00110295	0.12235626	-0.54954345	GA1
BA.4/5	367	2022-10-09	26	8	28654	712.0756525	2550476.968	0.475461776	-0.389846513	0.009621101	0.297325163	-0.043286477	0.78911851	-0.704991817	GA7
XBB	161	2023-05-14	33	6	7360	384.6427146	471828.3965	1.050640231	0.420182818	0.050758892	0.053871696	0.000908932	0.62611683	-0.703351288	GA6
WT	1155	2020-11-15	42	12	18398	2526.15535	3873017.177	0.322910216	-0.171324169	-0.050411733	0.114342108	-0.00230806	0.473410341	-0.900875866	GA4
BA.2	1372	2022-06-12	26	10	35565	560.588697	1993733.701	0.835862581	0.142818996	-0.075548559	-0.012171155	-0.029116024	0.894051131	0.044686922	GA8
Delta	409	2021-07-25	20	12	63732	647.8676876	3440825.289	0.425685746	0.010749027	0.006027077	-0.796590599	-0.000955828	0.171144366	-0.05962721	GA1
BA.4/5	575	2022-10-16	27	9	27271	778.0746923	2357652.77	1.037050366	0.806501762	0.011559384	0.08157611	0.099468068	0.814070009	0.247480289	GA8
BA.1	86	2022-02-06	11	54	87486	10020.78432	16234784.03	0.451280187	0.01581653	-0.045366597	0.061545757	-0.009133458	0.715858179	0.522428302	GA7
WT	131	2020-12-06	45	5	14657	1389.274151	4072518.246	0.670308994	0.219495986	0.143459787	-0.860597419	0.004214878	0.576966608	-0.291624806	GA5
WT	1293	2021-01-17	51	3	27586	367.272412	3377192.252	0.936080654	0.261314087	0.147303926	-0.001634746	-0.008653086	0.764614501	0.206109917	GA7
WT	416	2020-10-18	38	8	11761	1820.835495	2676855.782	0.325222472	-0.109994939	-0.045959725	-0.437465575	-0.001664201	0.350551768	-0.286554534	GA3
Delta	27	2021-06-20	15	55	12635	4962.496391	1140020.762	0.652506126	-0.350770285	0.006022065	-0.095610851	-0.001821021	0.052798323	-0.696293166	GA0
BA.2	218	2022-06-19	27	47	25526	3099.95081	1683603.072	0.668978195	-0.064203601	-0.074958746	0.102570791	-0.030910616	0.908641775	0.654041934	GA9
BA.4/5	535	2022-07-10	13	62	58646	5288.679193	5002578.709	0.439554744	0.267415254	0.002411596	0.170604275	-0.004495454	0.17112491	-0.283150411	GA1
BA.2	2537	2022-03-06	12	27	50611	3649.42096	6840772.008	0.142169756	0.076195058	0.00164106	0.114592478	0.000312194	0.265115799	-0.711374016	GA2
WT	314	2021-02-28	57	5	19204	276.0913905	1060411.813	0.820002021	-0.388137528	-0.064515071	0.014915591	-0.053426087	0.854434157	-0.664349986	GA8
BA.2	214	2023-01-01	55	11	3392	1086.190446	334941.6357	1.333230834	-0.100457112	0.524933019	-0.552078595	0.047223829	0.980964653	0.078989878	GA9
WT	475	2021-03-07	58	2	17910	111.9923255	1002891.275	1.942421883	0.733180141	0.55377239	0.335667673	-0.062160782	0.863130897	1	GA8
Delta	252	2021-10-17	32	13	70398	542.8504038	2939660.21	0.68413244	0.186125188	0.008266748	-0.126441715	-0.001177803	0.593410933	0.723789723	GA5
Delta	706	2021-09-12	27	105	82607	5017.447089	3947392.873	0.871248836	0.431289758	0.00690178	0.049788246	-0.000813728	0.442062513	0.04684605	GA4
WT	509	2021-01-31	53	28	22140	2511.069755	1985538.728	0.805691624	0.049844879	-0.064466799	0.380100535	-0.023733971	0.806841961	-0.250062621	GA8
BA.4/5	262	2022-11-20	32	8	18069	616.2260431	1391823.547	0.798609154	0.190333222	0.062298315	-0.06090024	0.060032646	0.900548535	0.885975189	GA9
Alpha	443	2021-05-30	29	14	25246	1217.131307	2194835.498	0.378021644	0.106087348	0.015698733	0.013969861	-0.003436607	0.901282249	-0.959389666	GA9
BA.2	31	2023-01-29	59	5	2362	349.9202737	165302.3373	1.619496384	0.098689025	0.603002568	-0.535352821	0.036092706	0.989323228	0.829175361	GA9
WT	244	2021-06-06	71	2	6148	165.8512224	509826.6576	1.936116487	0.798998135	0.014741111	-0.511426561	0.080797664	0.966181081	1	GA9
XBB	127	2023-09-03	49	13	10357	387.105343	308403.849	1.795459153	-0.058055419	-0.272948022	-0.035522542	-0.016590079	0.854325945	0.495745303	GA8
BA.1	76	2021-12-12	3	3	4208	124.2352001	174260.574	0.630938302	0.050702083	0.144918559	0.054493456	0.012842375	0.001761116	0.723545751	G0
BA.4/5	464	2022-10-30	29	9	23126	688.4154763	1768921.812	0.58156424	0.088373586	0.012624595	-0.320587498	-0.062433938	0.854766857	-0.219218053	GA8
WT	7	2020-06-21	21	13	5278	2532.037674	1028007.296	0.211348423	0.056151075	-0.012128142	0.002440065	-0.000255151	0.074752064	1	GA0
Delta	515	2021-09-19	28	3	78317	140.6983189	3673023.415	0.752741079	0.49192102	0.007906537	-0.351654448	-0.000716336	0.476441458	1	GA4
Delta	742	2021-11-07	35	70	96668	2357.124627	3255121.764	0.518274619	0.193230268	0.0069068	0.214603296	-0.001332417	0.680992865	0.543881062	GA6
XBB	363	2023-06-25	39	3	4735	103.1831097	162857.3415	1.335439215	0.359884898	-0.212550671	0.009361477	-0.002295432	0.70656879	-0.878712945	GA7
Delta	788	2021-08-01	21	17	82375	787.0879647	3813904.182	0.55142897	0.131953259	0.00668026	-0.10215836	-0.000853918	0.206847934	0.865336126	GA2
BA.2	149	2022-12-18	53	13	3493	1205.843061	324000.7549	1.665015193	-0.224106263	-0.547766703	0.402199326	-0.304537218	0.975278004	-0.888982234	GA9
BA.4/5	13	2022-10-16	27	319	26961	27578.4252	2330852.42	0.514777781	-0.44510949	0.011559384	0.047374626	-0.048784618	0.814070009	-0.488844147	GA8
WT	82	2020-12-27	48	29	16561	6285.585009	3589502.529	0.730070517	0.148324984	-0.055629898	-0.367331651	-0.009315504	0.673723403	0.240851888	GA6
BA.4/5	286	2022-07-10	13	2	58706	170.6025546	5007696.785	0.680669652	0.522018548	0.002411596	0.430200414	0.143724727	0.17112491	1	GA1
BA.2	108	2022-03-06	12	52	50586	7028.514441	6837392.914	0.304194964	0.238631779	0.00164106	-0.052456007	0.00031256	0.265115799	-0.706634924	GA2
BQ.1	2	2022-10-09	5	621	1400	55274.87252	124613.2392	0.280739082	-0.185655844	0.005368629	-0.052166204	-0.077705557	0.022345868	-0.296937099	GA0
Delta	173	2021-10-03	30	10	72179	439.6191053	3173126.74	0.56071953	0.059322492	0.01634418	0.014572833	-0.001177175	0.538053734	0.447858494	GA5
BA.4/5	188	2022-06-12	9	4	18265	224.2354788	1023915.255	0.612573604	-0.107095318	0.003775248	-0.156527601	-0.002795872	0.026676102	-0.740673852	GA0
BA.4/5	46	2022-07-31	16	167	53603	20492.32663	6577546.013	0.710749071	-0.629381768	0.003746327	0.074708707	-0.008037611	0.371226627	0.134136501	GA3
Delta	935	2021-07-04	17	24	30933	1623.959011	2093080.17	0.41804835	-0.039104299	0.005572245	0.185746659	-0.001131743	0.087646876	-0.658644847	GA0
WT	75	2020-11-01	40	27	12758	7327.047179	3462165.478	0.731645799	0.308966776	0.135818517	-0.341208966	0.007471246	0.407189635	0.228649136	GA4
BA.2	217	2022-05-22	23	3	46486	190.3607803	2949703.745	0.715201513	0.564962702	-0.181256829	-0.077208919	0.08073565	0.835394341	1	GA8
WT	502	2020-10-25	39	8	13415	1825.288866	3060781.267	0.442373056	-0.019959602	-0.049019593	0.143968109	-0.001738398	0.377106709	1	GA3
XBB	1440	2023-03-19	25	3	9871	172.2942924	566905.6534	0.340389542	0.059597995	0.0279127	0.104241063	0.003324851	0.383921693	-0.023222026	GA3
WT	369	2020-12-20	47	3	22315	482.9388412	3592260.08	0.577055711	-0.014483521	-0.05229232	0.298065289	-0.009497527	0.642545406	1	GA6
XBB	770	2023-08-13	46	10	7518	483.8744283	363776.7952	1.270192572	-0.35459461	0.348323965	0.063683048	0.010254226	0.808094286	-0.347369957	GA8
BA.2	606	2022-04-03	16	4	65741	499.990881	8217475.128	0.289364046	-0.231202503	-0.002786067	0.026243972	-0.000875076	0.573366977	-0.539974025	GA5
BQ.1	615	2022-11-20	11	4	11552	308.1130216	889830.4063	0.470467065	0.331362879	0.004705781	-0.957842147	0.061448303	0.186862434	0.353758865	GA1
BA.4/5	312	2022-09-18	23	2	38798	149.5527401	2901173.605	1.145548811	0.18689613	0.005868041	0.137506438	0.175917108	0.70374051	1	GA7
Delta	221	2021-10-17	32	1	70410	41.75772337	2940161.302	0.623919684	0.319926609	0.008266748	0.479372806	-0.001177834	0.593410933	1	GA5
BA.1	475	2022-01-09	7	1	77886	168.2206477	13102033.37	0.801455723	-0.587292056	-0.074556986	0.027973722	-0.006676268	0.184119982	1	GA1
BA.2	488	2022-02-27	11	117	44597	14104.39248	5376184.541	0.320408704	0.258970289	0.002099119	0.030735025	0.00068715	0.205908865	-0.243541564	GA2
XBB	128	2023-10-29	57	31	8702	479.5518429	134614.8431	1.16679621	0.015109795	0.469915577	-0.124512664	-0.033310966	0.919573091	-0.459883142	GA9
BA.1	652	2022-02-20	13	8	69768	964.2764617	8409455.023	0.464358573	0.353396012	0.052798143	0.25062241	0.005652977	0.865301287	1	GA8
XBB	1106	2023-04-02	27	4	9642	252.8204625	609423.7248	0.702115888	0.319336628	0.034317855	0.06702603	0.307724284	0.444731837	0.326680015	GA4
Delta	13	2021-10-03	30	16	72173	703.3905685	3172862.969	0.848847873	-0.173130872	0.01634418	-0.053233762	-0.001177161	0.538053734	-0.930898739	GA5
Delta	275	2021-08-01	21	87	82305	4028.038408	3810663.232	0.540343589	0.121526333	0.00668026	-0.188747424	-0.000853725	0.206847934	-0.251503255	GA2
XBB	1386	2023-02-26	22	8	10253	466.2615496	597572.4586	0.509153412	0.307119788	0.021930611	-0.069009809	0.00399118	0.291851366	-0.35804113	GA2
WT	106	2021-03-14	59	1	17025	52.49076174	893655.2185	2.539417679	1.15028573	0.162797359	-0.108993346	-0.065833274	0.870879968	1	GA8
Delta	458	2021-11-14	36	11	106333	362.3630212	3502831.558	0.672565703	0.143343733	0.006653502	-0.150178474	-0.001450781	0.713780976	-0.649588959	GA7
BA.2	3049	2022-04-03	16	53	65692	6624.879174	8211350.239	0.336642237	0.231127542	-0.002786067	0.05072369	-0.000874486	0.573366977	-0.64207487	GA5
XBB	14	2023-07-30	44	114	5857	7843.212308	402962.2323	1.251087945	0.06594125	0.094952238	0.065511497	0.011328521	0.769733077	0.568042039	GA7
WT	285	2020-08-16	29	6	6883	1605.797886	1842117.808	0.311979345	0.042821082	-0.063046886	-0.466152911	-0.000747678	0.184942032	-0.372219094	GA1
XBB	813	2023-11-26	61	6	7287	155.8983697	189338.57	6.078064019	0.50521814	-0.912345077	0.067983044	0.076934787	0.954150838	0.109324875	GA9
BQ.1	808	2023-01-22	20	6	8615	542.7776342	779338.2197	0.535978885	0.264526215	0.006283494	0.345852171	0.032872299	0.886518481	-0.505254673	GA8
XBB	22	2023-02-05	19	219	7390	13823.18854	466453.7139	0.765446839	-0.008463563	0.046448942	0.0995598	0.006644779	0.204069964	-0.138206504	GA2
WT	1272	2020-06-28	22	4	4555	1028.763325	1171504.237	0.213635771	0.053339982	-0.021574907	-0.001330152	-0.00056808	0.084918745	-0.327716499	GA0
Delta	681	2021-07-11	18	3	40107	191.415262	2559030.637	0.500621718	0.107641556	-0.094119667	-0.14909373	-0.000481865	0.111599891	1	GA1
BQ.1	339	2022-12-04	13	5	19195	380.1436802	1459371.588	0.466274826	0.302174712	0.007024479	-0.978764183	0.054741083	0.323743826	0.955508553	GA3
WT	926	2020-09-13	33	2	7434	540.1487049	2007732.736	0.387420685	0.059178334	-0.046183432	-0.245306983	-0.000958438	0.251701561	0.233373766	GA2
WT	172	2020-07-19	25	15	6880	3423.191198	1570103.696	0.30907916	0.047866838	-0.108152284	-0.456193846	-0.00110295	0.12235626	-0.265449562	GA1
Delta	532	2021-08-22	24	60	116013	2222.783642	4297863.312	0.485574835	0.293394248	0.006619369	-0.272099943	-0.000545585	0.323999739	0.007150761	GA3
Delta	48	2021-10-10	31	37	76680	1434.505118	2972914.93	0.683457904	-0.534088586	0.008761031	-0.061696033	-0.001080443	0.565892129	0.152885349	GA5
XBB	1488	2023-03-05	23	2	11121	110.7671515	615920.746	0.34144892	0.113558206	0.021812461	0.039437428	0.003698701	0.323932263	0.616495172	GA3
WT	404	2021-01-17	51	3	27586	367.272412	3377192.252	0.656933825	-0.033802646	-0.052717025	0.201186345	-0.018738961	0.764614501	-0.197902849	GA7
XBB	153	2023-04-16	29	22	9401	1439.196926	614995.0139	0.970221876	-0.728817158	0.038018678	0.038249894	-0.025041872	0.509173104	0.285702175	GA5
Delta	13	2021-08-22	24	54	116019	2000.505278	4298085.59	0.814302419	-0.142816662	0.006619369	-0.069530344	-0.00054559	0.323999739	-0.543309576	GA3
WT	142	2021-03-14	59	52	16974	2729.51961	890978.1897	1.595093653	0.275277797	-0.007028665	-0.343410517	0.01574782	0.870879968	-0.739880891	GA8
BA.4/5	816	2022-08-14	18	5	44135	645.8957291	5701321.601	0.351155786	0.13991085	0.00509266	-0.357113651	-0.011776285	0.497555662	0.262996327	GA4
WT	526	2021-01-24	52	6	25326	682.6346297	2881400.772	0.621860447	-0.122073495	-0.056299937	0.036516272	-0.020670643	0.789604179	-0.706863152	GA7
Alpha	161	2021-05-16	27	15	37735	1462.964317	3680330.566	0.230342029	-0.009318093	0.008712848	-0.021773596	-0.002682298	0.817988595	-0.407892099	GA8
Delta	787	2021-08-22	24	27	116046	1000.252639	4299085.843	0.495026496	0.302124958	0.006619369	0.115274606	-0.000545614	0.323999739	0.144461153	GA3
WT	1501	2021-01-17	51	14	27575	1713.937923	3375845.587	0.735249374	0.052172896	-0.052717025	-0.674115288	-0.018738961	0.764614501	0.02816659	GA7
WT	1185	2020-05-24	17	3	3889	523.0333933	678025.6221	0.3159778	0.173255627	0.000768243	0.048797456	-0.00058888	0.044072562	0.186083846	GA0
Alpha	236	2021-05-16	27	22	37728	2145.680998	3679647.849	0.245843597	0.006337645	0.008712848	0.142710478	-0.002682297	0.817988595	-0.38325094	GA8
Delta	27	2021-06-27	16	96	22119	7037.988069	1621596.439	0.674202217	-0.374363317	0.006328157	-0.053237331	-0.001652581	0.068041512	-0.648495551	GA0
BA.4/5	805	2022-10-23	28	6	24208	514.6809049	2076565.891	0.601681348	0.152892535	0.010076815	0.00634159	-0.053417462	0.836044905	-0.252404963	GA8
Delta	968	2021-11-07	35	26	96712	875.5034329	3256603.385	0.607415108	0.282879899	0.0069068	0.216623695	-0.001332597	0.680992865	0.212325899	GA6
WT	228	2021-01-10	50	48	27934	6218.326619	3618806.996	0.467644683	-0.172703649	-0.050310914	-0.440129872	-0.015553387	0.735328698	-0.934665548	GA7
XBB	1082	2023-07-30	44	1	5970	68.80010796	410736.6445	1.735320532	0.265936862	0.003920859	-0.114606905	-0.008424052	0.769733077	1	GA7
Delta	211	2021-08-08	22	10	89353	444.6529435	3973107.446	0.446158766	0.217596667	0.003606302	-0.02463837	-0.000675696	0.244038357	0.385892133	GA2
BQ.1	149	2023-01-01	17	12	18041	1184.935032	1781451.076	0.633919211	-0.08950421	0.007119038	0.10389299	-0.105565587	0.711648968	0.814276373	GA7
Alpha	103	2021-02-28	16	5	28292	276.0913905	1562235.524	0.208672569	0.049501364	0.009058911	0.715167125	-0.000672748	0.23699623	0.511245705	GA2
BA.4/5	32	2022-07-24	15	268	61786	27756.45737	6399106.249	0.32652327	0.152749358	0.003095369	0.017913698	-0.006769835	0.301421338	-0.377802615	GA3
BA.4/5	583	2022-07-10	13	15	58693	1279.519159	5006587.869	0.316903638	0.144213224	0.002411596	0.083123786	-0.004495454	0.17112491	0.832854674	GA1
WT	170	2020-09-20	34	17	7779	4470.58533	2045687.252	0.424931155	0.077604539	0.081641649	-0.524591436	-0.000689047	0.269477864	-0.999994753	GA2
Alpha	105	2021-05-16	27	26	37724	2535.804816	3679257.726	0.254019037	0.014383115	0.008712848	0.007528237	-0.002682296	0.817988595	-0.25818661	GA8
BA.2	25	2022-05-29	24	16	44245	927.145544	2563847.162	0.984153518	0.39710409	0.178604816	0.223280482	0.080018768	0.857580647	1	GA8
WT	600	2021-01-17	51	5	27584	612.1206867	3376947.404	0.603815156	-0.093886469	-0.052717025	0.189491585	-0.018738961	0.764614501	-0.075395635	GA7
BA.4/5	575	2022-11-06	30	13	20820	949.2093808	1520195.331	1.049520634	0.755312083	0.012583881	0.069593863	0.080484501	0.870860115	0.072741114	GA8
WT	441	2021-05-30	70	7	6405	608.5656534	556837.5728	2.800259478	-1.19526411	-0.099161647	0.362792314	-0.238348314	0.961759089	-0.623597762	GA9
Delta	404	2021-11-14	36	27	106317	889.4365066	3502304.484	0.512159388	0.174828943	0.006653502	-0.476606212	-0.001450772	0.713780976	-0.338040681	GA7
XBB	147	2023-10-01	53	12	10197	175.8141278	149398.0551	1.432824788	-0.391888011	0.384273948	0.009831567	-0.013652902	0.890220446	-0.716965178	GA8
XBB	277	2023-11-05	58	2	8420	33.48820091	140985.3258	1.814436849	0.845912618	0.639851448	-0.02168298	0.099609587	0.926916888	1	GA9
Delta	138	2021-09-26	29	1	71570	47.63521411	3409252.274	0.713398621	0.258860991	0.009790558	-0.065475518	-0.000862401	0.508350769	-0.503363142	GA5
Delta	193	2021-10-17	32	1	70410	41.75772337	2940161.302	0.78811359	-0.043608768	0.008266748	0.243669459	-0.001177834	0.593410933	-0.23907935	GA5
Delta	899	2021-08-15	23	13	86830	635.1968372	4242626.259	0.472593138	0.257665101	0.007451147	0.00679747	-0.000704	0.283753123	0.380757743	GA2
BA.1	84	2022-03-13	16	14	24203	1777.597018	3073084.33	0.546680273	-0.460338805	-0.120603295	0.021407458	-0.012923544	0.96054324	-0.957849495	GA9
Alpha	117	2021-03-28	20	70	49775	3948.601913	2807738.003	0.615164329	0.44103203	0.008578393	-0.159549595	-0.001406412	0.384909028	0.098272273	GA3
BA.4/5	95	2022-11-27	33	9	16257	749.0049062	1352952.529	0.653331481	-0.568502669	0.010795524	0.011347788	-0.08383597	0.914870296	-0.731194955	GA9
