VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
Delta	274	2021-09-19	28	7	78313	328.2960775	3672835.817	0.641346329	0.183861402	0.007906537	-0.362362949	-0.000716324	0.476441458	0.169897175	GA4
WT	924	2020-06-21	21	2	5289	389.5442575	1030149.789	0.251329646	0.095545541	-0.012128142	-0.229067435	-0.000255151	0.074752064	-0.004245921	GA0
BA.4/5	47	2022-08-07	17	123	49757	15384.19675	6223345.347	0.329664872	0.134405796	0.00283741	0.076293162	-0.009982559	0.437230536	0.55715121	GA4
Delta	376	2021-09-19	28	47	78273	2204.273663	3670959.839	0.542557544	0.280849548	0.007906537	0.227175467	-0.000716204	0.476441458	0.091828797	GA4
Delta	488	2021-11-28	38	5	94120	214.6451652	4040480.589	0.687468698	-0.620967183	0.005705498	-0.121264857	-0.006294219	0.787068056	0.986412935	GA7
Alpha	317	2021-04-25	24	8	48565	707.7018446	4296192.51	0.303622641	0.084000131	0.15254565	0.128905601	-0.000968387	0.623139987	0.365300877	GA6
WT	492	2021-05-30	70	3	6409	260.8138514	557185.3246	2.10139313	1.043362064	0.020647747	-0.30905195	0.095075732	0.961759089	0.315551725	GA9
Alpha	421	2021-03-14	18	4	39890	209.9630469	2093856.486	0.202367491	0.034508483	0.007604151	-0.217678686	-0.000981888	0.299585413	-0.571340183	GA2
XBB	1407	2023-06-18	38	6	4933	233.4968177	191973.3003	0.859371111	-0.054575844	0.057029763	-0.110247118	-0.000261522	0.698082341	-0.290680988	GA6
Alpha	27	2021-05-23	28	7	32081	645.7910813	2959660.525	0.38142067	0.127958451	0.011903204	-0.310670937	-0.003542019	0.865808138	1	GA8
BA.1	140	2022-02-27	14	29	49903	3495.960528	6015824.767	0.440986767	0.325799903	0.048928904	0.01313299	0.005143997	0.908532232	0.477694486	GA9
WT	1104	2020-03-15	7	3	4991	50.1186712	83380.76266	0.275984252	-0.018678488	0.003506207	0.748335923	-5.16E-05	0.001071632	-0.798378274	G0
WT	161	2020-04-05	10	28	9962	1248.526652	444207.9467	0.220718262	0.139371088	0.001546547	0.259869384	-8.37E-05	0.00946307	0.231399002	G0
WT	1185	2020-12-27	48	10	16580	2167.443106	3593620.67	0.528378614	-0.063325941	-0.055629898	0.086148295	-0.009315504	0.673723403	-0.185321353	GA6
WT	662	2020-03-22	8	4	9658	80.14906661	193519.9213	0.287854275	0.238868326	0.001720141	0.18142711	-0.000116664	0.00275028	0.471560835	G0
Delta	764	2021-11-28	38	22	94103	944.4387267	4039750.795	0.417480371	-0.190680439	0.005705498	-0.185179773	-0.001163787	0.787068056	0.093015774	GA7
Alpha	231	2021-05-02	25	1	48452	89.45356453	4334204.109	0.25210667	0.029456172	0.008913793	0.183781019	-0.00197514	0.693154342	0.198939329	GA6
WT	601	2021-01-31	53	29	22139	2600.750818	1985449.047	0.62345987	-0.159258059	-0.204648895	0.183264882	0.011328513	0.806841961	0.338028634	GA8
XBB	1395	2023-04-30	31	8	9027	530.9858896	599151.2032	1.417910592	0.491592718	-0.213292989	0.16326791	-0.00053273	0.572466413	-0.268793173	GA5
WT	608	2020-10-18	38	1	11768	227.6044369	2678449.014	0.607980262	0.263682342	-0.045959725	0.000774732	-0.001664201	0.350551768	0.451769438	GA3
BA.2	629	2022-03-27	15	7	76441	865.3687226	9449950.075	0.544390707	-0.053331807	0.279429023	0.258521846	-0.001151805	0.502278263	1	GA5
BA.4/5	331	2022-11-13	31	17	20089	1195.333303	1412532.396	0.528226165	-0.061277512	0.012680792	0.047431064	-0.076451299	0.885816935	-0.701804702	GA8
XBB	15	2023-05-07	32	4	7914	281.8923306	557723.976	1.354017007	0.431673808	0.129655144	0.126715349	0.019770156	0.601525526	1	GA6
