"","V1","V2"
"BA.2_2022-01-02",1.97618092191299,1.37215184750085
"BA.2_2022-01-09",2.0194412079487,1.25785650215778
"BA.2_2022-01-16",2.16949760952388,1.2357619195853
"BA.2_2022-01-23",2.22060256420488,1.20208103291669
"BA.2_2022-01-30",2.21958440720507,1.1818151487131
"BA.2_2022-02-06",2.2117360504887,1.15724212942902
"BA.2_2022-02-13",2.19229245090961,1.14296348786337
"BA.2_2022-02-20",2.22612521747393,1.15720131707189
"BA.2_2022-02-27",2.22535733442076,1.15757629920838
"BA.2_2022-03-06",2.2408104933244,1.15937540165406
"BA.2_2022-03-13",2.24079835137167,1.16011677416112
"BA.2_2022-03-20",2.24312770512871,1.16091071329301
"BA.2_2022-03-27",2.24909348587267,1.16289248378763
"BA.2_2022-04-03",2.24921953198783,1.16514967493868
"BA.2_2022-04-10",2.24640394222245,1.1713193380346
"BA.2_2022-04-17",2.25059660975715,1.18146752381809
"BA.2_2022-04-24",2.25959535440946,1.19242215738973
"BA.2_2022-05-01",2.26896732437325,1.22196327958072
"BA.2_2022-05-08",2.2830465643047,1.25598941264567
"BA.2_2022-05-15",2.29563286005007,1.28746102688554
"BA.2_2022-05-22",2.31102994918372,1.32427789131499
"BA.2_2022-05-29",2.33305397655458,1.35918733186993
"BA.2_2022-06-05",2.3280678928321,1.38191431666816
"BA.2_2022-06-12",2.34823796034458,1.40720480753647
"BA.2_2022-06-19",2.35467145939446,1.40214496678185
"BA.2_2022-06-26",2.35160600574917,1.40390166273457
"BA.2_2022-07-03",2.35595883561285,1.41535160004626
"BA.2_2022-07-10",2.35343802432217,1.40061384822582
"BA.2_2022-07-17",2.36162214164334,1.39838939374566
"BA.2_2022-07-24",2.40679502382525,1.40632262099872
"BA.2_2022-07-31",2.46348660643171,1.40551495430965
"BA.2_2022-08-07",2.56191429555907,1.41372644154449
"BA.2_2022-08-14",2.82444271777752,1.41635632936824
"BA.2_2022-08-21",3.07498508072757,1.39201424058119
"BA.2_2022-08-28",3.37160444368343,1.3044761092035
"BA.2_2022-09-04",3.59248801933786,1.22328823366328
"BA.2_2022-09-11",3.66494724629429,1.21791179114422
"BA.2_2022-09-18",3.95861620075962,1.16694733537125
"BA.2_2022-09-25",4.08047516642927,1.1071290948528
"BA.2_2022-10-02",4.05200405572078,1.10941038336015
"BA.2_2022-10-09",4.07401012604839,1.16450349135902
"BA.2_2022-10-16",4.15490155095816,1.18288769393824
"BA.2_2022-10-23",4.20828323246157,1.12019748620359
"BA.2_2022-10-30",4.26644345518589,1.07919848234383
"BA.2_2022-11-06",4.35324443275913,1.07846637395402
"BA.2_2022-11-13",4.38211042775667,1.08056791177839
"BA.2_2022-11-20",4.43703348396576,1.02184815210569
"BA.2_2022-11-27",4.50341410680593,1.04446895361783
"BA.2_2022-12-04",4.53571349274298,1.03134508333137
"BA.2_2022-12-11",4.53298584546071,1.08041921661405
"BA.2_2022-12-18",4.55767672911517,1.13344671727707
"BA.2_2022-12-25",4.60194864878225,1.13089618579312
"BA.2_2023-01-01",4.65580159517807,1.14311658120593
"BA.2_2023-01-08",4.65413454610344,1.22326730382732
"BA.2_2023-01-15",4.65654117440144,1.18016186542187
"BA.2_2023-01-22",4.67804212417585,1.18135025549639
"BA.2_2023-01-29",4.68679754526654,1.19883718973134
"BA.2_2023-02-05",4.71110550007944,1.25324739303854
"BA.2_2023-02-12",4.7368157234914,1.27558799637168
"BA.2_2023-02-19",4.73745070955886,1.30034343069705
"BA.2_2023-02-26",4.75230394001566,1.24917379216091
"BA.2_2023-03-05",4.76508145917423,1.24038386143966
"BA.2_2023-03-12",4.78628018744136,1.48066684789964
"BA.2_2023-03-19",4.78693854345998,1.31407112576758
"BA.2_2023-03-26",4.78064891321366,1.19754635130386
"BA.2_2023-04-02",4.81050332470661,1.33137274146034
"BA.2_2023-04-09",4.81307478700406,1.36572563661492
"BA.2_2023-04-16",4.84804504700857,1.44521581412991
"BA.2_2023-04-23",4.79215603303155,1.43247358851565
"BA.2_2023-04-30",4.87088700415101,1.62988295679831
"BA.4/5_2022-04-17",2.22248859842043,1.60360097782979
"BA.4/5_2022-04-24",2.26956912162289,1.63187117793474
"BA.4/5_2022-05-01",2.21280733011048,1.60353618680131
"BA.4/5_2022-05-08",2.23444586240246,1.60152449423895
"BA.4/5_2022-05-15",2.25132739842065,1.5877267290248
"BA.4/5_2022-05-22",2.24739516813461,1.58337031834122
"BA.4/5_2022-05-29",2.25200271451953,1.57600211417406
"BA.4/5_2022-06-05",2.24148192540572,1.56693300783755
"BA.4/5_2022-06-12",2.25495610258127,1.56794301529446
"BA.4/5_2022-06-19",2.2466258786582,1.54772777565432
"BA.4/5_2022-06-26",2.24018559834318,1.53846127527695
"BA.4/5_2022-07-03",2.23356298796343,1.53376303997682
"BA.4/5_2022-07-10",2.23432368561114,1.53318532412595
"BA.4/5_2022-07-17",2.23238862291808,1.52982835875496
"BA.4/5_2022-07-24",2.23519235982811,1.52396066738339
"BA.4/5_2022-07-31",2.23624119954252,1.52095935351369
"BA.4/5_2022-08-07",2.25123294661546,1.52276313514602
"BA.4/5_2022-08-14",2.26275103191247,1.52376473048788
"BA.4/5_2022-08-21",2.26932384417825,1.52060207666328
"BA.4/5_2022-08-28",2.27248378164827,1.51989358460889
"BA.4/5_2022-09-04",2.28786969587318,1.52267208462756
"BA.4/5_2022-09-11",2.29004966193665,1.52274055463391
"BA.4/5_2022-09-18",2.31086047348384,1.52508968275788
"BA.4/5_2022-09-25",2.32710557267224,1.52926070316115
"BA.4/5_2022-10-02",2.33660218500954,1.5238701974967
"BA.4/5_2022-10-09",2.34904888782421,1.51924349549113
"BA.4/5_2022-10-16",2.37082604190756,1.51898237189494
"BA.4/5_2022-10-23",2.37406512495861,1.51490606012577
"BA.4/5_2022-10-30",2.39917045058597,1.51972399038306
"BA.4/5_2022-11-06",2.41810063423226,1.52483972986592
"BA.4/5_2022-11-13",2.43155787927736,1.53549794470687
"BA.4/5_2022-11-20",2.44385143537902,1.53507615313419
"BA.4/5_2022-11-27",2.46375295985947,1.53481129618383
"BA.4/5_2022-12-04",2.49140363963792,1.53160540874149
"BA.4/5_2022-12-11",2.49437311794264,1.52742244291207
"BA.4/5_2022-12-18",2.50528176088025,1.52280883398217
"BA.4/5_2022-12-25",2.52438165298412,1.52386735829449
"BA.4/5_2023-01-01",2.55227321697775,1.53276661622617
"BA.4/5_2023-01-08",2.55254395079607,1.52917990894288
"BA.4/5_2023-01-15",2.57294167297854,1.53704335103806
"BA.4/5_2023-01-22",2.57665486214818,1.52763272815042
"BA.4/5_2023-01-29",2.58465873780573,1.55801114323178
"BA.4/5_2023-02-05",2.60071426514287,1.54900449151444
"BA.4/5_2023-02-12",2.6343197365833,1.54476639587742
"BA.4/5_2023-02-19",2.64387140068003,1.54434616784888
"BA.4/5_2023-02-26",2.65843497392621,1.55154740453226
"BA.4/5_2023-03-05",2.65209462857252,1.53703832695758
"BA.4/5_2023-03-12",2.67667492531343,1.53067510783791
"BQ.1_2022-09-11",2.93743941290457,1.69759061634195
"BQ.1_2022-09-18",2.92392055525707,1.67140386542877
"BQ.1_2022-09-25",2.97805231447791,1.66486980561174
"BQ.1_2022-10-02",3.01765956624286,1.64093839169264
"BQ.1_2022-10-09",3.01692404952326,1.63959513769106
"BQ.1_2022-10-16",3.01363159206001,1.63395670207158
"BQ.1_2022-10-23",3.03530880223069,1.6133415469485
"BQ.1_2022-10-30",3.02315541352892,1.61962436117159
"BQ.1_2022-11-06",3.0287009422803,1.61730704636912
"BQ.1_2022-11-13",3.04248335747241,1.60855714042572
"BQ.1_2022-11-20",3.03533719844856,1.60758660272171
"BQ.1_2022-11-27",3.05626454573176,1.60159997988485
"BQ.1_2022-12-04",3.06504068406382,1.59373289783021
"BQ.1_2022-12-11",3.07884624164334,1.59196353641204
"BQ.1_2022-12-18",3.09227529772041,1.58180573286364
"BQ.1_2022-12-25",3.11072484961235,1.58330913517287
"BQ.1_2023-01-01",3.12359296780936,1.58830111013715
"BQ.1_2023-01-08",3.14179398607382,1.58667488276489
"BQ.1_2023-01-15",3.14994728089811,1.58684146083842
"BQ.1_2023-01-22",3.15976296312281,1.59323735416087
"BQ.1_2023-01-29",3.16896216015286,1.59304647649231
"BQ.1_2023-02-05",3.17800104069266,1.59610535822936
"BQ.1_2023-02-12",3.18998627721564,1.60185124580185
"BQ.1_2023-02-19",3.20250760739477,1.61341852504704
"BQ.1_2023-02-26",3.22625301901482,1.60642618743235
"BQ.1_2023-03-05",3.23386425160534,1.61922146367787
"BQ.1_2023-03-12",3.25662832031507,1.64044891458333
"BQ.1_2023-03-19",3.260101742377,1.66668727368777
"BQ.1_2023-03-26",3.29025375783326,1.67386613800607
"BQ.1_2023-04-02",3.28461594043993,1.66790025033759
"XBB_2022-10-02",4.86107661244462,-2.26536276330677
"XBB_2022-10-09",4.84333794371826,-2.2436010584151
"XBB_2022-10-16",4.87503882988643,-2.22938425811198
"XBB_2022-10-23",4.91877372484188,-2.21035608806666
"XBB_2022-10-30",4.90659464963388,-2.21081382527062
"XBB_2022-11-06",4.929832288025,-2.22531918602388
"XBB_2022-11-13",4.91213526922514,-2.21492324329904
"XBB_2022-11-20",4.93042668246962,-2.25296833309134
"XBB_2022-11-27",4.94000617559604,-2.21957777668711
"XBB_2022-12-04",4.95739668937292,-2.24628818135893
"XBB_2022-12-11",4.97048662093147,-2.2450003666751
"XBB_2022-12-18",4.9567511824665,-2.27534670406769
"XBB_2022-12-25",4.97498561009067,-2.29029450755994
"XBB_2023-01-01",4.97276427265767,-2.31419261628289
"XBB_2023-01-08",4.96361331877148,-2.34621143137463
"XBB_2023-01-15",4.97829957299184,-2.35102798521743
"XBB_2023-01-22",4.97199810026712,-2.36404989992994
"XBB_2023-01-29",4.95888356897919,-2.37052733954856
"XBB_2023-02-05",4.93738276377266,-2.38282784687267
"XBB_2023-02-12",4.94031434036478,-2.38927463858413
"XBB_2023-02-19",4.94813459841447,-2.39588532952942
"XBB_2023-02-26",4.94948263046897,-2.40631624608278
"XBB_2023-03-05",4.95434772499711,-2.41169078651231
"XBB_2023-03-12",4.96493610568064,-2.42357181322995
"XBB_2023-03-19",4.95948236862006,-2.45256050560356
"XBB_2023-03-26",4.96774821495096,-2.4799284628864
"XBB_2023-04-02",4.9834018945002,-2.5225712250845
"XBB_2023-04-09",5.007832830647,-2.54823440951392
"XBB_2023-04-16",5.02733601139715,-2.58155707954257
"XBB_2023-04-23",5.0365758845026,-2.59882300882381
"XBB_2023-04-30",5.0587047479674,-2.64027093762299
"XBB_2023-05-07",5.06717821538797,-2.67830283209582
"XBB_2023-05-14",5.07869993062984,-2.71328382199493
"XBB_2023-05-21",5.08220892532333,-2.77253778184259
"XBB_2023-05-28",5.08949305590686,-2.8306901027725
"XBB_2023-06-04",5.10785999418903,-2.85503858265724
"XBB_2023-06-11",5.11914940020197,-2.8940111498265
"XBB_2023-06-18",5.13683247940897,-2.91524631424824
"XBB_2023-06-25",5.15812165539056,-2.94419100002193
"XBB_2023-07-02",5.18215125576742,-2.9759389610947
"XBB_2023-07-09",5.19557721462752,-3.00659747926128
"XBB_2023-07-16",5.20917950475444,-3.02579663339354
"XBB_2023-07-23",5.22954827258442,-3.05118724084691
"XBB_2023-07-30",5.25357326234662,-3.07023526823956
"XBB_2023-08-06",5.26300687613758,-3.10154276827489
"XBB_2023-08-13",5.27202296280877,-3.12876117436705
"XBB_2023-08-20",5.27903601894202,-3.12234489042092
"XBB_2023-08-27",5.30153098760989,-3.13358884908733
"XBB_2023-09-03",5.30949436614419,-3.1493163690337
"XBB_2023-09-10",5.32950824177226,-3.16401859712246
"XBB_2023-09-17",5.35422608321949,-3.13795518937811
"XBB_2023-09-24",5.37863962602909,-3.12420392561541
"XBB_2023-10-01",5.40371061255167,-3.13593784852237
"XBB_2023-10-08",5.42677495689942,-3.10099570078001
"XBB_2023-10-15",5.45086042975826,-3.08297921205857
"XBB_2023-10-22",5.46263485990747,-3.03432104044151
"XBB_2023-10-29",5.48613252106181,-3.03802818977721
"XBB_2023-11-05",5.52188371010227,-2.97406129258923
"XBB_2023-11-12",5.53172484730649,-2.96163629836038
"XBB_2023-11-19",5.54940738827111,-2.9270218054295
"XBB_2023-11-26",5.56887001303623,-2.90436641709255
"XBB_2023-12-03",5.5976966709955,-2.88525576139761
"XBB_2023-12-10",5.62068706981165,-2.89464938979061
"XBB_2023-12-17",5.64907204883171,-2.87720527828088
"XBB_2023-12-24",5.64856382984488,-2.82688640224684
"XBB_2023-12-31",5.66756708148436,-2.81343198932309
"XBB_2024-01-07",5.6864385838645,-2.84898000421815
"XBB_2024-01-14",5.6871767785516,-2.85343888429218
"XBB_2024-01-21",5.70455597504101,-2.89259047403756
"XBB_2024-01-28",5.70892749494435,-2.87892447051688
