VOC	Date	Cases	AverageNUCMutCount	
BA.2	2022-10-09	99067.52515	92.69769504	0.288160908
BA.2	2022-10-16	104175.556	93.46210269	0.764407654
BA.2	2022-10-23	109970.1533	93.65795542	0.195852729
BA.2	2022-10-30	111676.2884	94.23312883	0.575173415
BA.2	2022-11-06	123689.2839	94.84435342	0.611224589
BA.2	2022-11-13	135353.9181	95.00819252	0.163839101
BA.2	2022-11-20	174700.0832	95.33362331	0.32543079
BA.2	2022-11-27	195323.835	95.92586352	0.592240207
BA.2	2022-12-04	223676.5415	96.311749	0.385885477
BA.2	2022-12-11	284353.5476	96.60717571	0.295426714
BA.2	2022-12-18	325206.5979	96.85626053	0.249084815
BA.2	2022-12-25	321358.3946	97.41172986	0.55546933
BA.2	2023-01-01	336027.8261	97.89910119	0.487371331
BA.2	2023-01-08	327256.9424	98.17730111	0.278199924
BA.2	2023-01-15	272347.4095	98.39271689	0.215415774
BA.2	2023-01-22	201008.6505	98.60743062	0.214713731
BA.2	2023-01-29	165652.2576	98.96888141	0.361450795
BA.2	2023-02-05	143849.5283	99.53145336	0.562571949
BA.2	2023-02-12	124445.6909	99.92384861	0.392395247
BA.2	2023-02-19	117838.895	100.2067353	0.282886657
BA.2	2023-02-26	111028.5315	100.5599793	0.353244051
BA.2	2023-03-05	100853.4915	100.8140541	0.254074737
BA.2	2023-03-12	62114.10101	101.368	0.553945946
BA.2	2023-03-19	67079.91117	101.6980492	0.330049194
BA.2	2023-03-26	57025.90988	101.9516129	0.253563709
BA.2	2023-04-02	61308.96215	102.3575025	0.405889614
BA.2	2023-04-09	50026.17695	103.0923483	0.734845767
BA.2	2023-04-16	44484.26863	103.5720222	0.479673876
BA.2	2023-04-23	39816.47882	103.7777778	0.205755617
BA.2	2023-04-30	37699.99816	104.7760736	0.998295842
BA.2.86	2023-10-08	2422.52393	123.6878981	0.575653191
BA.2.86	2023-10-15	3208.051878	124.0904523	0.402554172
BA.2.86	2023-10-22	4135.93663	124.8988327	0.808380424
BA.2.86	2023-10-29	6296.051614	124.9780488	0.079216096
BA.2.86	2023-11-05	9092.046547	125.4098361	0.431787285
